seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
27,beta,1,max,1.0,0.5,raw,none,,3,0.4527807572363639,0.6067679393417045,0.3647231946342122,0.8540201519688649
4,beta,1,max,1.0,0.5,raw,none,,13,0.4422961185888311,0.6474430093282553,0.3589409819601299,0.8622391849267573
49,beta,1,max,1.0,0.5,raw,none,,2,0.4454321282304939,0.6573509772174939,0.351785366624919,0.8638223140495869
5,beta,1,max,1.0,0.5,raw,none,,5,0.4077113534012744,0.6747959407534065,0.3681034473333934,0.8538077329319566
25,beta,1,max,1.0,0.5,raw,none,,3,0.4357027023119122,0.6058447907668683,0.3389717842079492,0.8697569375599238
26,beta,1,max,1.0,0.5,raw,none,,3,0.4396623579589711,0.6286131643024575,0.3624596277314613,0.8390575030771311
43,beta,1,max,1.0,0.5,raw,none,,3,0.4398196069789097,0.6226323243945189,0.3580758828704972,0.8660982102338761
20,beta,1,max,1.0,0.5,raw,none,,3,0.4146754029212062,0.6514075398038617,0.3713782976325742,0.849894812228638
34,beta,1,max,1.0,0.5,raw,none,,3,0.428482029309898,0.6780135308809622,0.3654307892954541,0.8456371893005727
41,beta,1,max,1.0,0.5,raw,none,,2,0.4345403082272787,0.6540910479376881,0.3578665630026917,0.8531539802503948
38,beta,1,max,1.0,0.5,raw,none,,7,0.4250678989924017,0.6389732860872359,0.3564310149369245,0.8652102631363228
45,beta,1,max,1.0,0.5,raw,none,,2,0.4151055316431952,0.6636067010665153,0.3418352922920186,0.8608449231117142
11,beta,1,max,1.0,0.5,raw,none,,3,0.4434124078835846,0.6356947591925524,0.3705257485833793,0.8564229407979409
13,beta,1,max,1.0,0.5,raw,none,,7,0.443065243257674,0.6458128211286862,0.3695487738037101,0.8549396145371377
23,beta,1,max,1.0,0.5,raw,none,,5,0.4257760703795472,0.6376052900363001,0.3647813690572279,0.8590240522672129
44,beta,1,max,1.0,0.5,raw,none,,3,0.432113060957065,0.6425336010272789,0.3639907880890743,0.8439613526570049
8,beta,1,max,1.0,0.5,raw,none,,3,0.4330862185082565,0.643855086781342,0.3613389090913405,0.8543098109347492
16,beta,1,max,1.0,0.5,raw,none,,7,0.4270628094587596,0.6584546508323248,0.3534880990961668,0.862229924098014
47,beta,1,max,1.0,0.5,raw,none,,3,0.416056420560169,0.666073654812301,0.3532895371596756,0.8661020780656072
3,beta,1,max,1.0,0.5,raw,none,,15,0.4344778412577899,0.6330017832984872,0.3439454043473268,0.8839428880030288
30,beta,1,max,1.0,0.5,raw,none,,7,0.4532212286747694,0.6145005622188906,0.351923873397071,0.8608498030604065
28,beta,1,max,1.0,0.5,raw,none,,4,0.4413847622662825,0.640569167211904,0.3543103805373627,0.867616785855965
46,beta,1,max,1.0,0.5,raw,none,,3,0.427871037777189,0.6869632496553308,0.3629344802817534,0.851576359673577
37,beta,1,max,1.0,0.5,raw,none,,7,0.4356649948543838,0.6480554996438856,0.3678979088691432,0.8611346650628067
