seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
13,beta,54,none,0.1,1.0,sae,none,,3,0.2778768251910822,0.806,0.2444533748143871,0.9059806034482758
1,beta,54,none,0.1,1.0,sae,none,,10,0.321121833204318,0.6864035087719298,0.21111839096968,0.9438509316770186
15,beta,54,none,0.1,1.0,sae,none,,2,0.2635775362013056,0.4299242424242424,0.1413405545042352,0.9702517162471396
6,beta,54,none,0.1,1.0,sae,none,,10,0.3350425487335597,0.67457805907173,0.2293535341254152,0.927614705044172
5,beta,54,none,0.1,1.0,sae,none,,10,0.311615670162046,0.5462626262626262,0.2363548184917255,0.8955633100697906
2,beta,54,none,0.1,1.0,sae,none,,10,0.274029404458996,0.5280898876404494,0.1765835203047445,0.940136476426799
18,beta,54,none,0.1,1.0,sae,none,,3,0.3866716606678135,0.3871986222732491,0.2465027558959011,0.8529060033484812
44,beta,54,none,0.1,1.0,sae,none,,3,0.3007046366629063,0.6743986254295532,0.2529407484073611,0.913728432108027
43,beta,54,none,0.1,1.0,sae,none,,3,0.2774479227129892,0.5681818181818181,0.2206389831915194,0.9696541990119972
23,beta,54,none,0.1,1.0,sae,none,,3,0.2691418696182329,0.6939820742637645,0.1869497868948867,0.935423197492163
0,beta,54,none,0.1,1.0,sae,none,,7,0.3450407266247391,0.5257352941176471,0.2475713843177052,0.8943329397874852
37,beta,54,none,0.1,1.0,sae,none,,2,0.2890849749101655,0.7924865831842576,0.236411316471307,0.9141705069124424
26,beta,54,none,0.1,1.0,sae,none,,3,0.3079889624324002,0.573404255319149,0.2310442608554954,0.9164756811815636
7,beta,54,none,0.1,1.0,sae,none,,8,0.3068000840499357,0.640495867768595,0.2200819574576918,0.9125085440874916
4,beta,54,none,0.1,1.0,sae,none,,9,0.3350634292969627,0.7370867768595042,0.2680013886974424,0.8805728805728805
46,beta,54,none,0.1,1.0,sae,none,,2,0.2883062005552872,0.8608534322820036,0.2615030595562141,0.9231634182908546
45,beta,54,none,0.1,1.0,sae,none,,4,0.3224013880660452,0.5,0.2805515464621116,0.8992753623188405
19,beta,54,none,0.1,1.0,sae,none,,3,0.2848014714791024,0.7051546391752577,0.1609982709125407,0.9452537593984962
36,beta,54,none,0.1,1.0,sae,none,,3,0.3060251120644479,0.5517241379310345,0.215256217014435,0.9035890218156228
22,beta,54,none,0.1,1.0,sae,none,,3,0.2988637641149261,0.6080246913580247,0.16877780724934,0.967899332306112
10,beta,54,none,0.1,1.0,sae,none,,3,0.2952619953464345,0.6824786324786325,0.2607385013619798,0.8977913533834587
17,beta,54,none,0.1,1.0,sae,none,,3,0.2830590111628448,0.5980861244019139,0.2425512381870606,0.91812725090036
41,beta,54,none,0.1,1.0,sae,none,,2,0.3078688787733852,0.655897435897436,0.2277617367751913,0.9251012145748988
28,beta,54,none,0.1,1.0,sae,none,,2,0.3252067334801476,0.6291079812206573,0.2505547656490052,0.8683597390493942
14,beta,54,none,0.1,1.0,sae,none,,4,0.3016801011841983,0.616875,0.2181205207452236,0.8972886029411765
49,beta,54,none,0.1,1.0,sae,none,,3,0.2982296279630958,0.6615384615384615,0.2291874424591283,0.8804701175293824
3,beta,54,none,0.1,1.0,sae,none,,12,0.3342427932665647,0.5691176470588236,0.2261677295258786,0.8918757467144564
38,beta,54,none,0.1,1.0,sae,none,,2,0.2858287771341926,0.6736572890025575,0.221736715770401,0.8969017094017094
11,beta,54,none,0.1,1.0,sae,none,,3,0.3172450309406353,0.4068181818181818,0.2553763161119781,0.9029900332225912
12,beta,54,none,0.1,1.0,sae,none,,7,0.3237634932530348,0.5095720720720721,0.2742095266459275,0.8927958833619211
24,beta,54,none,0.1,1.0,sae,none,,4,0.3199304651730335,0.58561797752809,0.2162632001172167,0.913818359375
16,beta,54,none,0.1,1.0,sae,none,,3,0.2950237805471827,0.5174501424501424,0.2298823914892705,0.8676253687315634
31,beta,54,none,0.1,1.0,sae,none,,3,0.3279252920486663,0.6823334907888522,0.2210730768789807,0.9113247863247864
48,beta,54,none,0.1,1.0,sae,none,,2,0.2770462186354963,0.5442351598173516,0.2262094723379502,0.8987767584097859
47,beta,54,none,0.1,1.0,sae,none,,3,0.3183440573348107,0.4809821858449687,0.216319891158844,0.9208173690932312
27,beta,54,none,0.1,1.0,sae,none,,3,0.3320290060528494,0.6415,0.2452754615351454,0.9253054789121008
35,beta,54,none,0.1,1.0,sae,none,,3,0.2629883985381037,0.6717171717171717,0.1804210575052533,0.9064102564102564
9,beta,54,none,0.1,1.0,sae,none,,4,0.2849916871640389,0.4977116704805491,0.2390101026321135,0.9122701236056676
39,beta,54,none,0.1,1.0,sae,none,,3,0.3144805493450231,0.5395238095238094,0.2364368582663119,0.9117647058823528
33,beta,54,none,0.1,1.0,sae,none,,4,0.3364912282238294,0.54421768707483,0.2264445589825232,0.912210338680927
30,beta,54,none,0.1,1.0,sae,none,,4,0.2784470921928848,0.6939271255060728,0.2360117583856224,0.9095365418894832
25,beta,54,none,0.1,1.0,sae,none,,2,0.3372641803603594,0.5532670454545454,0.2097681091559308,0.9452
29,beta,54,none,0.1,1.0,sae,none,,3,0.3072495701075278,0.625967492260062,0.2357553050161338,0.9024125779343996
8,beta,54,none,0.1,1.0,sae,none,,8,0.2975984967890775,0.6862648221343873,0.2197160591158202,0.9445964432284542
42,beta,54,none,0.1,1.0,sae,none,,3,0.3083053883355436,0.5399175412293853,0.24677029966831,0.891852770885029
21,beta,54,none,0.1,1.0,sae,none,,3,0.3099716545228108,0.7926421404682275,0.2585142007502048,0.9319693094629156
32,beta,54,none,0.1,1.0,sae,none,,4,0.3290185568976387,0.5175903614457832,0.1895248631205515,0.8779411764705882
13,beta,54,none,0.1,1.0,sae,none,,4,0.289783519337363,0.7655000000000001,0.2470037875874463,0.8914331896551725
15,beta,54,none,0.1,1.0,sae,none,,3,0.2746624213000741,0.4261363636363636,0.1350634228552588,0.9721586575133486
6,beta,54,none,0.1,1.0,sae,none,,11,0.3428900865266804,0.6756329113924051,0.2267428699600511,0.9341692789968652
1,beta,54,none,0.1,1.0,sae,none,,11,0.3227083690566126,0.6271929824561404,0.2147378226886609,0.9175155279503104
2,beta,54,none,0.1,1.0,sae,none,,11,0.276051546615755,0.5632958801498128,0.1749427239744356,0.9416873449131512
5,beta,54,none,0.1,1.0,sae,none,,11,0.312364155330376,0.5341414141414141,0.2404944090262719,0.8781156530408774
18,beta,54,none,0.1,1.0,sae,none,,4,0.3853548060424228,0.3696900114810562,0.2454117452719537,0.8497966993542215
23,beta,54,none,0.1,1.0,sae,none,,4,0.2724518859891113,0.5697823303457107,0.1811887390920714,0.933228840125392
43,beta,54,none,0.1,1.0,sae,none,,4,0.2789002249571822,0.7009569377990431,0.2193886086462487,0.9784756527875794
34,beta,54,none,0.1,1.0,sae,none,,2,0.3944282775052184,0.4627329192546583,0.389225589319979,0.8288170163170163
44,beta,54,none,0.1,1.0,sae,none,,4,0.3012663533492934,0.6881443298969072,0.245339251231995,0.9240435108777194
7,beta,54,none,0.1,1.0,sae,none,,9,0.3080181233791376,0.5712809917355371,0.2206163235679231,0.90954659375712
26,beta,54,none,0.1,1.0,sae,none,,4,0.3066881106595819,0.6148936170212767,0.2242407219784433,0.9177489177489178
0,beta,54,none,0.1,1.0,sae,none,,8,0.3433426589281858,0.5452205882352941,0.2387928005495664,0.8925619834710743
37,beta,54,none,0.1,1.0,sae,none,,3,0.2941825264396239,0.8148479427549195,0.2332681827117479,0.9170506912442398
46,beta,54,none,0.1,1.0,sae,none,,3,0.2945083725642591,0.8552875695732838,0.2546403396566458,0.9300974512743628
4,beta,54,none,0.1,1.0,sae,none,,10,0.3226047696477576,0.7365702479338844,0.2390999097787231,0.8861168861168861
19,beta,54,none,0.1,1.0,sae,none,,4,0.2881366620423989,0.7211340206185567,0.1620773720462218,0.9508928571428572
45,beta,54,none,0.1,1.0,sae,none,,5,0.3151316460011131,0.5422473867595818,0.2456464335139012,0.9053140096618356
22,beta,54,none,0.1,1.0,sae,none,,4,0.3020660159748777,0.5907921810699589,0.1775917487030868,0.9653312788906008
10,beta,54,none,0.1,1.0,sae,none,,4,0.3029338671594527,0.6311965811965813,0.2703466520619993,0.9132988721804512
36,beta,54,none,0.1,1.0,sae,none,,4,0.3061776645051698,0.4658251231527093,0.2267539596558868,0.906755805770584
17,beta,54,none,0.1,1.0,sae,none,,4,0.2855992077465515,0.6459330143540669,0.2423625667087149,0.920528211284514
14,beta,54,none,0.1,1.0,sae,none,,5,0.3013101856369901,0.6200000000000001,0.2139543590823474,0.89453125
38,beta,54,none,0.1,1.0,sae,none,,3,0.28645976528619,0.6255754475703325,0.2207199613512812,0.8955662393162392
41,beta,54,none,0.1,1.0,sae,none,,3,0.3106900011283101,0.6415384615384615,0.2157860724444088,0.9347728295096716
3,beta,54,none,0.1,1.0,sae,none,,13,0.3356509095141702,0.5205882352941176,0.2144820202536805,0.9071087216248508
20,beta,54,none,0.1,1.0,sae,none,,2,0.2880829762452082,0.5615325077399381,0.1799133063697223,0.9279811097992916
11,beta,54,none,0.1,1.0,sae,none,,4,0.3174460832179351,0.4133116883116883,0.2472085603671368,0.9083056478405316
28,beta,54,none,0.1,1.0,sae,none,,3,0.3276184008689453,0.622848200312989,0.2458814659049053,0.8909599254426841
49,beta,54,none,0.1,1.0,sae,none,,4,0.2960558557543949,0.5809716599190282,0.223711041756378,0.8819704926231557
40,beta,54,none,0.1,1.0,sae,none,,2,0.2989444880098452,0.6823529411764706,0.2388527613952152,0.9372351694915256
31,beta,54,none,0.1,1.0,sae,none,,4,0.3298329678737922,0.6806802078412848,0.2216098608207851,0.9099893162393162
24,beta,54,none,0.1,1.0,sae,none,,5,0.3229704576215553,0.5946067415730337,0.2244434988106647,0.90966796875
12,beta,54,none,0.1,1.0,sae,none,,8,0.3151912437532815,0.495777027027027,0.2356995269809284,0.8882218410520297
47,beta,54,none,0.1,1.0,sae,none,,4,0.3217879251641852,0.5040924410207029,0.2187826013113309,0.907088122605364
48,beta,54,none,0.1,1.0,sae,none,,3,0.2783849406914824,0.5291095890410958,0.2289061673265119,0.8981651376146789
16,beta,54,none,0.1,1.0,sae,none,,4,0.2957750447141749,0.5142450142450143,0.2293187074161596,0.8716814159292035
27,beta,54,none,0.1,1.0,sae,none,,4,0.3510357513363261,0.714,0.2846726536569761,0.9075679936933384
