seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
44,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4131157866531243,0.6243913223862345,0.2888789367349762,0.9221220726838704
5,bernoulli,54,none,0.9,1.0,sae,none,,12,0.4362895262062791,0.5755024534516368,0.3110855995846419,0.8997193929259147
16,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4148135122137694,0.5849530530470666,0.3218775522260495,0.8856181006811242
46,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4258386240809036,0.6037545648204504,0.2963352441473123,0.906894626733006
23,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4218163096258285,0.571851962542339,0.2771014242911035,0.9264636350994296
1,bernoulli,54,none,0.9,1.0,sae,none,,13,0.4490790771949972,0.564301436454867,0.2921414456306745,0.9216904535363144
43,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4329155609874294,0.551604189407652,0.2495483102860489,0.9489922759732188
13,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4355068616063738,0.5897614556398627,0.3097957788825984,0.8927428482223002
7,bernoulli,54,none,0.9,1.0,sae,none,,14,0.4278678511597129,0.5936803986604495,0.2966124729062436,0.918116997827839
29,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4201881274312691,0.5841302261341823,0.2952467915936406,0.9132126711289316
39,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4240851084642719,0.5869583754613782,0.3067603636780917,0.9070931805009982
22,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4473642631941342,0.5711592463127391,0.301985287649793,0.9004279646130753
10,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4260612232255712,0.568029524452262,0.3044851071046531,0.9112350007033034
32,bernoulli,54,none,0.9,1.0,sae,none,,3,0.3997305103808998,0.5973693669544239,0.2979260460948768,0.9213650719382384
19,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4268502630659465,0.5657217409342264,0.3021464638130809,0.9027628580729168
8,bernoulli,54,none,0.9,1.0,sae,none,,7,0.4179591774958427,0.5841353660960168,0.2976002993525453,0.9177918006111838
48,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4306397550128489,0.5903686457656862,0.3149348058674278,0.8953038196402126
6,bernoulli,54,none,0.9,1.0,sae,none,,12,0.4348778311683051,0.5931802345836721,0.2965605727073824,0.910761602476037
38,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4166782635823323,0.6145744010088272,0.2757900263656899,0.9357773212765822
27,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4312439731508478,0.5754743303571429,0.3044606489152889,0.902735619767756
3,bernoulli,54,none,0.9,1.0,sae,none,,18,0.4363444257814435,0.6076011268071272,0.3251592942644818,0.8934507042253521
12,bernoulli,54,none,0.9,1.0,sae,none,,4,0.418588197108136,0.6227878166915052,0.3358445926207382,0.8673597203510176
25,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4009096085085621,0.5890852261828194,0.2334047659810058,0.9630555555555556
41,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4266169684431171,0.5971905912123303,0.2715653909237432,0.9422329287382278
42,bernoulli,54,none,0.9,1.0,sae,none,,3,0.409041934622023,0.6028411916034331,0.3024014026174108,0.9072668831599178
35,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4266339958275237,0.5567657715495931,0.2808924892890135,0.9314481167720636
21,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4194112467558043,0.5886702567064801,0.2915199313719001,0.9232586416536392
36,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4391756156387222,0.5900759288147465,0.3245950950483779,0.8973007916969236
26,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4407211658698556,0.5457406709385602,0.3034675702478769,0.9108437200383508
30,bernoulli,54,none,0.9,1.0,sae,none,,4,0.441261267693789,0.5612891979496457,0.2963494995478212,0.9192754238210268
45,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4337276217709508,0.5961288987799014,0.3185734409446499,0.8941188760715688
47,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4406808614829996,0.5477438136826783,0.319339343878167,0.893978318978319
9,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4395799072487668,0.5752011836696437,0.3106265775498487,0.917772022080946
40,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4124593649703348,0.6086351848753555,0.2861385930750083,0.9351524598384476
20,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4281655494254149,0.5562885487327012,0.2665709453510519,0.9416126042632068
24,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4265525551220068,0.5585415614384328,0.3055987669211808,0.9015801170858628
31,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4253113980247466,0.5742650596464391,0.3149616560229347,0.9027330759768064
28,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4362486928357322,0.521794586164643,0.3060355807963696,0.8995804485249849
15,bernoulli,54,none,0.9,1.0,sae,none,,5,0.4209890069013327,0.5695641635484995,0.2425424988856933,0.9578920072606866
37,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4049772720081964,0.5913729754555648,0.2837025152713446,0.9307501708817498
34,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4341548176385344,0.5980388259458027,0.2943343949103481,0.9249178798058976
49,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4284296351127583,0.5537954861801551,0.3028442675576547,0.920425675018851
14,bernoulli,54,none,0.9,1.0,sae,none,,4,0.459262844589269,0.5200247426139103,0.2915000595784658,0.9192494090980884
11,bernoulli,54,none,0.9,1.0,sae,none,,6,0.427561546490792,0.6257602685624012,0.2922863706288854,0.9170632670003864
0,bernoulli,54,none,0.9,1.0,sae,none,,10,0.4428019779869292,0.5673397390056905,0.2988679522732787,0.9124946320727538
17,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4334469967869523,0.5554975704229435,0.3054412541612464,0.8985403275176003
33,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4154498771062199,0.6171748488264834,0.3100180772155951,0.9122988706231194
2,bernoulli,54,none,0.9,1.0,sae,none,,14,0.4334521363089876,0.5552111467604426,0.2625784489936952,0.9346313285762828
18,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4387874563101678,0.5424748195148077,0.3153165135917377,0.8929078710522008
4,bernoulli,54,none,0.9,1.0,sae,none,,10,0.4377709299156796,0.5717311204036868,0.3035407003209727,0.905876506359842
44,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4166553038796154,0.6217136867848719,0.2890792274790162,0.9223113964687
5,bernoulli,54,none,0.9,1.0,sae,none,,13,0.4364995416505555,0.562112096972956,0.3071564266325803,0.9045239181108746
23,bernoulli,54,none,0.9,1.0,sae,none,,5,0.424049319720951,0.567095038852361,0.278956679585469,0.9245525160418776
46,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4265759427533991,0.5939140482349361,0.2919910647775761,0.9166341473990004
16,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4180817852297011,0.5710259553854434,0.321499984288104,0.8835864714632428
43,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4336806201688733,0.5552830475453553,0.252746928402945,0.9525928211986386
7,bernoulli,54,none,0.9,1.0,sae,none,,15,0.4284911928540392,0.5841758934341735,0.3009879033986345,0.9111228525225354
39,bernoulli,54,none,0.9,1.0,sae,none,,4,0.425758081208263,0.5832094870326833,0.3097121338039958,0.9025758258741708
1,bernoulli,54,none,0.9,1.0,sae,none,,14,0.449899390020294,0.5533219974755115,0.2942958401995219,0.918150967332699
13,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4359268617870164,0.5755558263744648,0.3103246193408283,0.8962211684814424
22,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4480866804458462,0.5674362893118347,0.3035276908881854,0.8975535754207786
10,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4289665068665506,0.5669587582300207,0.3082956975228354,0.9106939981173112
19,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4285503947114534,0.5676105006304963,0.307303362424444,0.9126546223958332
29,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4224550180642145,0.5946000515005384,0.2940573874707154,0.9134554865093693
6,bernoulli,54,none,0.9,1.0,sae,none,,13,0.4360201535094837,0.5801765184066892,0.2937989615157466,0.914690416410062
38,bernoulli,54,none,0.9,1.0,sae,none,,5,0.4202303972852066,0.6006778058007567,0.2813761745989299,0.9367596521204908
