study,study_group,artifact_path,araf_rows,araf_seeds,baseline_missing
sample_size,items,model/result/sample_size_study/items/amortized_irt_raw_bernoulli_u32_n_max_j0.5.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_raw_bernoulli_u32_n_max_j0.7.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_raw_bernoulli_u32_n_max_j0.9.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_raw_beta_u32_n_max.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_raw_beta_u32_n_max_j0.1.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_raw_beta_u32_n_max_j0.3.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_raw_beta_u32_n_max_j0.5.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_raw_beta_u32_n_max_j0.7.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_raw_beta_u32_n_max_j0.9.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_sae_bernoulli_u32_n_max_bsae_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_sae_bernoulli_u32_n_max_j0.1_bsae_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_sae_bernoulli_u32_n_max_j0.3_bsae_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_sae_bernoulli_u32_n_max_j0.5_bsae_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_sae_bernoulli_u32_n_max_j0.7_bsae_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_sae_bernoulli_u32_n_max_j0.9_bsae_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_sae_beta_u32_n_max_bsae_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_sae_beta_u32_n_max_j0.1_bsae_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_sae_beta_u32_n_max_j0.3_bsae_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_sae_beta_u32_n_max_j0.5_bsae_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_sae_beta_u32_n_max_j0.7_bsae_k10.csv,3,3,0
sample_size,items,model/result/sample_size_study/items/amortized_irt_sae_beta_u32_n_max_j0.9_bsae_k10.csv,3,3,0
sample_size,users_16,model/result/sample_size_study/users_16/amortized_irt_pca_bernoulli_u16_n_max_bpca_k10.csv,3,3,0
sample_size,users_16,model/result/sample_size_study/users_16/amortized_irt_pca_beta_u16_n_max_bpca_k10.csv,3,3,0
sample_size,users_16,model/result/sample_size_study/users_16/amortized_irt_raw_bernoulli_u16_n_max.csv,3,3,0
sample_size,users_16,model/result/sample_size_study/users_16/amortized_irt_raw_beta_u16_n_max.csv,3,3,0
sample_size,users_16,model/result/sample_size_study/users_16/amortized_irt_sae_bernoulli_u16_n_max_bsae_k10.csv,3,3,0
sample_size,users_16,model/result/sample_size_study/users_16/amortized_irt_sae_beta_u16_n_max_bsae_k10.csv,3,3,0
sample_size,users_32,model/result/sample_size_study/users_32/amortized_irt_pca_bernoulli_u32_n_max_bpca_k10.csv,3,3,0
sample_size,users_32,model/result/sample_size_study/users_32/amortized_irt_pca_beta_u32_n_max_bpca_k10.csv,3,3,0
sample_size,users_32,model/result/sample_size_study/users_32/amortized_irt_raw_bernoulli_u32_n_max.csv,3,3,0
sample_size,users_32,model/result/sample_size_study/users_32/amortized_irt_raw_beta_u32_n_max.csv,3,3,0
sample_size,users_32,model/result/sample_size_study/users_32/amortized_irt_sae_bernoulli_u32_n_max_bsae_k10.csv,3,3,0
sample_size,users_32,model/result/sample_size_study/users_32/amortized_irt_sae_beta_u32_n_max_bsae_k10.csv,3,3,0
sample_size,users_4,model/result/sample_size_study/users_4/amortized_irt_pca_bernoulli_u4_n_max_bpca_k10.csv,3,3,0
sample_size,users_4,model/result/sample_size_study/users_4/amortized_irt_pca_beta_u4_n_max_bpca_k10.csv,3,3,0
sample_size,users_4,model/result/sample_size_study/users_4/amortized_irt_raw_bernoulli_u4_n_max.csv,3,3,0
sample_size,users_4,model/result/sample_size_study/users_4/amortized_irt_raw_beta_u4_n_max.csv,3,3,0
sample_size,users_4,model/result/sample_size_study/users_4/amortized_irt_sae_bernoulli_u4_n_max_bsae_k10.csv,3,3,0
sample_size,users_4,model/result/sample_size_study/users_4/amortized_irt_sae_beta_u4_n_max_bsae_k10.csv,3,3,0
sample_size,users_8,model/result/sample_size_study/users_8/amortized_irt_pca_bernoulli_u8_n_max_bpca_k10.csv,3,3,0
sample_size,users_8,model/result/sample_size_study/users_8/amortized_irt_pca_beta_u8_n_max_bpca_k10.csv,3,3,0
sample_size,users_8,model/result/sample_size_study/users_8/amortized_irt_raw_bernoulli_u8_n_max.csv,3,3,0
sample_size,users_8,model/result/sample_size_study/users_8/amortized_irt_raw_beta_u8_n_max.csv,3,3,0
sample_size,users_8,model/result/sample_size_study/users_8/amortized_irt_sae_bernoulli_u8_n_max_bsae_k10.csv,3,3,0
sample_size,users_8,model/result/sample_size_study/users_8/amortized_irt_sae_beta_u8_n_max_bsae_k10.csv,3,3,0
sample_size,users_max,model/result/sample_size_study/users_max/amortized_irt_pca_bernoulli_n_max_bpca_k10.csv,3,3,0
sample_size,users_max,model/result/sample_size_study/users_max/amortized_irt_pca_beta_n_max_bpca_k10.csv,3,3,0
sample_size,users_max,model/result/sample_size_study/users_max/amortized_irt_raw_bernoulli_n_max.csv,3,3,0
sample_size,users_max,model/result/sample_size_study/users_max/amortized_irt_raw_beta_n_max.csv,3,3,0
sample_size,users_max,model/result/sample_size_study/users_max/amortized_irt_sae_bernoulli_n_max_bsae_k10.csv,3,3,0
sample_size,users_max,model/result/sample_size_study/users_max/amortized_irt_sae_beta_n_max_bsae_k10.csv,3,3,0
support_thinning,retain_0.050,model/result/support_thinning_study/retain_0.050/araf_sweeps/amortized_irt_pca_bernoulli_u32_n_max_bpca_k10.csv,321,3,0
support_thinning,retain_0.050,model/result/support_thinning_study/retain_0.050/araf_sweeps/amortized_irt_pca_beta_pre_max_n_max.csv,321,3,0
support_thinning,retain_0.050,model/result/support_thinning_study/retain_0.050/araf_sweeps/amortized_irt_pca_beta_u32_n_max_bpca_k10.csv,321,3,0
support_thinning,retain_0.050,model/result/support_thinning_study/retain_0.050/araf_sweeps/amortized_irt_raw_bernoulli_u32_n_max.csv,321,3,0
support_thinning,retain_0.050,model/result/support_thinning_study/retain_0.050/araf_sweeps/amortized_irt_raw_beta_pre_max_n_max.csv,321,3,0
support_thinning,retain_0.050,model/result/support_thinning_study/retain_0.050/araf_sweeps/amortized_irt_raw_beta_u32_n_max.csv,321,3,0
support_thinning,retain_0.100,model/result/support_thinning_study/retain_0.100/araf_sweeps/amortized_irt_pca_bernoulli_u32_n_max_bpca_k10.csv,321,3,0
support_thinning,retain_0.100,model/result/support_thinning_study/retain_0.100/araf_sweeps/amortized_irt_pca_beta_pre_max_n_max.csv,321,3,0
