seed,model_type,n_samples,pre_revision,j_percentage,mirt_dim,rmse_mirt,auc_mirt,baseline_embedding_type
6,bernoulli,32,none,1.0,4,0.2742017827667125,0.581725695332114,pca
7,bernoulli,32,none,1.0,4,0.2739340089048528,0.5512546290384369,pca
13,bernoulli,32,none,1.0,4,0.2604782254258163,0.5819451722331007,pca
10,bernoulli,32,none,1.0,4,0.275323656745903,0.6135843731431967,pca
47,bernoulli,32,none,1.0,4,0.2640911583331488,0.5534556516779162,pca
19,bernoulli,32,none,1.0,4,0.2644771148078196,0.6014924846517535,pca
41,bernoulli,32,none,1.0,4,0.269334347992011,0.5958837724503521,pca
22,bernoulli,32,none,1.0,4,0.2861713995319054,0.5613688049197314,pca
45,bernoulli,32,none,1.0,4,0.280101657022507,0.541906177087814,pca
5,bernoulli,32,none,1.0,4,0.2651772933459434,0.5963733580453937,pca
31,bernoulli,32,none,1.0,4,0.2682371030330898,0.5755671145788182,pca
34,bernoulli,32,none,1.0,4,0.2672255065165503,0.6032031209896823,pca
9,bernoulli,32,none,1.0,4,0.2606173298528128,0.6003800675675675,pca
11,bernoulli,32,none,1.0,4,0.2667977446155143,0.6281729243786356,pca
23,bernoulli,32,none,1.0,4,0.2755205916395852,0.5529625168487768,pca
30,bernoulli,32,none,1.0,4,0.2609604482781786,0.65545299089885,pca
49,bernoulli,32,none,1.0,4,0.2678450346094644,0.5699425976631742,pca
27,bernoulli,32,none,1.0,4,0.2699003732732048,0.585701770016631,pca
29,bernoulli,32,none,1.0,4,0.2861137383779144,0.5862651280607937,pca
21,bernoulli,32,none,1.0,4,0.267451235346028,0.6045278014587477,pca
25,bernoulli,32,none,1.0,4,0.2849561041146874,0.5669763260413545,pca
2,bernoulli,32,none,1.0,5,0.2630357769538835,0.5494870820668694,pca
38,bernoulli,32,none,1.0,4,0.2801487342860346,0.5967258213633392,pca
42,bernoulli,32,none,1.0,5,0.2595024065988407,0.592834631071561,pca
33,bernoulli,32,none,1.0,4,0.2919705488167304,0.5613690064545874,pca
1,bernoulli,32,none,1.0,4,0.2792423168327541,0.6003538820864887,pca
24,bernoulli,32,none,1.0,5,0.2843862746173031,0.5957675753228122,pca
20,bernoulli,32,none,1.0,5,0.2713614123591871,0.5618137375855901,pca
48,bernoulli,32,none,1.0,5,0.2615808294338866,0.5879954134378872,pca
26,bernoulli,32,none,1.0,5,0.2725093620774398,0.5768759171038614,pca
12,bernoulli,32,none,1.0,5,0.2707603872927281,0.5529650238473768,pca
40,bernoulli,32,none,1.0,5,0.2815337207028186,0.5412716963164956,pca
32,bernoulli,32,none,1.0,5,0.2685866458257334,0.5724562904795463,pca
36,bernoulli,32,none,1.0,5,0.2663591561405216,0.5515313563441906,pca
46,bernoulli,32,none,1.0,5,0.274978681301526,0.5713712121212121,pca
15,bernoulli,32,none,1.0,5,0.280665704646712,0.5792994111429866,pca
16,bernoulli,32,none,1.0,5,0.2791365850430111,0.5564197196216213,pca
8,bernoulli,32,none,1.0,5,0.2685327833085936,0.5601500140684468,pca
44,bernoulli,32,none,1.0,5,0.2645226633669015,0.5337785607708486,pca
0,bernoulli,32,none,1.0,5,0.2866954674479568,0.5464805421886967,pca
4,bernoulli,32,none,1.0,6,0.2682320338469411,0.5650495712128994,pca
14,bernoulli,32,none,1.0,5,0.2812104859675033,0.5459126024255714,pca
17,bernoulli,32,none,1.0,5,0.2707406429477324,0.6004142915907622,pca
35,bernoulli,32,none,1.0,5,0.2668556986312697,0.571834298520047,pca
43,bernoulli,32,none,1.0,5,0.2797255926990358,0.5790283025120966,pca
28,bernoulli,32,none,1.0,5,0.2895667729456667,0.575505193578848,pca
3,bernoulli,32,none,1.0,5,0.2675187678527077,0.6092924151846889,pca
