seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
16,bernoulli,1,max,1.0,raw,16,0.4319323593836134,0.6470923716067556,0.3601968117668143,0.8912030384970934
20,bernoulli,1,max,1.0,raw,16,0.421742648097361,0.6685556842501352,0.3577693230177571,0.895036774624041
23,bernoulli,1,max,1.0,raw,17,0.4296327209233936,0.6517611269821416,0.3587060382703279,0.8935384672614434
8,bernoulli,1,max,1.0,raw,16,0.435819378098186,0.6468503021850303,0.3614642737319136,0.8909016222237693
17,bernoulli,1,max,1.0,raw,16,0.4449521664831725,0.6311954732510288,0.354828981926216,0.895577197721837
28,bernoulli,1,max,1.0,raw,17,0.4440913438925758,0.6398491843001274,0.362495125540484,0.8889386524888565
21,bernoulli,1,max,1.0,raw,16,0.4332402308871038,0.6595245118696447,0.3517877598817838,0.9013517077899612
44,bernoulli,1,max,1.0,raw,16,0.4340482340336559,0.631716429682345,0.3617955869793025,0.8917173058791952
27,bernoulli,1,max,1.0,raw,17,0.4507932353946915,0.6049402645486516,0.3538799410845268,0.8981777880447935
45,bernoulli,1,max,1.0,raw,16,0.4273475395745945,0.6687972960398151,0.3645266647802641,0.8888900919579412
13,bernoulli,1,max,1.0,raw,16,0.4402390297861099,0.6557421032977819,0.3582819819619662,0.8942835202415
6,bernoulli,1,max,1.0,raw,17,0.4422422611040341,0.6100893845910458,0.3547084768536898,0.8986585258340902
11,bernoulli,1,max,1.0,raw,17,0.4439764392042201,0.63555602724418,0.3636623352635207,0.8879236067772965
32,bernoulli,1,max,1.0,raw,17,0.4426356218502254,0.6184140984520987,0.3550586011028241,0.8979223125564589
19,bernoulli,1,max,1.0,raw,17,0.4304261880592691,0.65077220875124,0.3594496276327155,0.892608896092252
12,bernoulli,1,max,1.0,raw,17,0.4312118886610064,0.6390251747725305,0.3661971229490727,0.8846793210364575
49,bernoulli,1,max,1.0,raw,16,0.4459246059229707,0.6381690238377096,0.3607648634792883,0.8896293847784562
9,bernoulli,1,max,1.0,raw,16,0.4299108444981023,0.666504006137061,0.3594367554719417,0.8928013815291447
35,bernoulli,1,max,1.0,raw,17,0.4324447598212513,0.6652016107326002,0.3585934641053633,0.8935017936871449
10,bernoulli,1,max,1.0,raw,17,0.4312811169938882,0.6373304191982164,0.3526471360684853,0.8992302267859058
30,bernoulli,1,max,1.0,raw,17,0.4531720728922933,0.6139032046476762,0.3552278813476887,0.8973423762362815
0,bernoulli,1,max,1.0,raw,21,0.4443754744493658,0.6261960424574964,0.3570411405299422,0.8948134405277263
36,bernoulli,1,max,1.0,raw,17,0.4511926654467675,0.6098793536804309,0.3564674266069282,0.8956551279235753
4,bernoulli,1,max,1.0,raw,17,0.4412281217095146,0.6434408980515538,0.3584941351662226,0.8920621026760582
26,bernoulli,1,max,1.0,raw,17,0.4393523715338882,0.6238600447837677,0.3506036929254045,0.9025913916044452
40,bernoulli,1,max,1.0,raw,17,0.4267927456662473,0.6620127842357499,0.3530452296367881,0.8993948206619582
34,bernoulli,1,max,1.0,raw,17,0.4357235297941079,0.6590472610878052,0.3589012713952662,0.8925715357828592
1,bernoulli,1,max,1.0,raw,17,0.4386393663244751,0.6489136018080953,0.3605595637079747,0.8903425095322159
5,bernoulli,1,max,1.0,raw,16,0.4187241083652542,0.6992289476672531,0.3649164335726765,0.8867386242023415
18,bernoulli,1,max,1.0,raw,17,0.4392833296919331,0.6513966307348616,0.3659185641151311,0.885200795101463
39,bernoulli,1,max,1.0,raw,17,0.426763573788789,0.6702277010424866,0.3566440603000944,0.8960125635865617
7,bernoulli,1,max,1.0,raw,17,0.4304477728078541,0.6710899679994603,0.37545466675621,0.8755545952175166
3,bernoulli,1,max,1.0,raw,18,0.4372380357919025,0.6585336981921043,0.3634221408776926,0.8898585161435639
31,bernoulli,1,max,1.0,raw,18,0.4217238508653076,0.6903526734551214,0.3564651483738566,0.8955071172495851
14,bernoulli,1,max,1.0,raw,17,0.4410761721517556,0.5936835782795578,0.3498829565019173,0.9030563763389828
43,bernoulli,1,max,1.0,raw,17,0.4407048687345012,0.6217165753272575,0.3591735109147674,0.8932898630514073
42,bernoulli,1,max,1.0,raw,18,0.4388863872136204,0.6563364575364676,0.3585985544917561,0.8934553085448226
47,bernoulli,1,max,1.0,raw,18,0.4273295642513735,0.662222665839451,0.3637898074650066,0.8890040445418758
25,bernoulli,1,max,1.0,raw,17,0.4370347853385636,0.6120237816729053,0.3531749095080083,0.8986993566549324
38,bernoulli,1,max,1.0,raw,18,0.4306825733315446,0.6551991532587045,0.3659288667919537,0.8876609648279838
22,bernoulli,1,max,1.0,raw,18,0.4405028796226347,0.6201521756751518,0.3700084274852952,0.8821639763136652
46,bernoulli,1,max,1.0,raw,18,0.4341446238167645,0.6678203507965685,0.3628110200850132,0.8874416675669929
41,bernoulli,1,max,1.0,raw,17,0.4380820183614803,0.6401631259412974,0.3633980922047404,0.8882582012711276
2,bernoulli,1,max,1.0,raw,18,0.4289305174585934,0.64436475592744,0.3627671942405214,0.8893974223996092
24,bernoulli,1,max,1.0,raw,17,0.4346230807038465,0.6407538939541952,0.3668298196673433,0.8846734281872178
33,bernoulli,1,max,1.0,raw,17,0.4353335760618782,0.6170753232900533,0.3567544302220866,0.8945795806835666
37,bernoulli,1,max,1.0,raw,17,0.4372530989823358,0.635275059610442,0.366089681260036,0.8815737683598585
15,bernoulli,1,max,1.0,raw,18,0.4396025170604315,0.6327527959607459,0.3616501275505749,0.8894768394024728
29,bernoulli,1,max,1.0,raw,17,0.432856181587998,0.668570097500915,0.3619885775031157,0.889964434876811
48,bernoulli,1,max,1.0,raw,17,0.4453976700297026,0.612992949330784,0.3545736424204745,0.8987210268644084
20,bernoulli,1,max,1.0,raw,17,0.4220045385342651,0.6682036523129747,0.3594038785858369,0.8933286618052724
23,bernoulli,1,max,1.0,raw,18,0.4294063341792919,0.6584124673837504,0.3592822328334908,0.893232950110806
17,bernoulli,1,max,1.0,raw,17,0.4447391231808633,0.6365010288065843,0.3551834764294648,0.8948379992084932
16,bernoulli,1,max,1.0,raw,17,0.4333143794823556,0.6511095002857973,0.3608698645299996,0.8900899154164951
28,bernoulli,1,max,1.0,raw,18,0.4440921491943438,0.6338592094809992,0.3574280660124359,0.8938855441787251
8,bernoulli,1,max,1.0,raw,17,0.4361057373881404,0.6425947718115604,0.3625549521394606,0.8899775464735779
27,bernoulli,1,max,1.0,raw,18,0.4509094763313933,0.6033363725297292,0.3529630525964214,0.8989409389919257
44,bernoulli,1,max,1.0,raw,17,0.4339818334633807,0.6324759474841938,0.3606304340515093,0.8921730587919536
21,bernoulli,1,max,1.0,raw,17,0.4335404268760619,0.6508954909397388,0.3516809264036968,0.9011167175355482
6,bernoulli,1,max,1.0,raw,18,0.4425554422894034,0.6124965842573815,0.3566179876256488,0.8967798195922613
45,bernoulli,1,max,1.0,raw,17,0.4264627130349061,0.6644363797911395,0.3612699719620342,0.8920255615693484
19,bernoulli,1,max,1.0,raw,18,0.4316442325493069,0.6502445442521768,0.3636146574152632,0.8874645910354774
11,bernoulli,1,max,1.0,raw,18,0.4442720136667771,0.6182984665264086,0.3607742187951494,0.8897319660105357
13,bernoulli,1,max,1.0,raw,17,0.4398747265547401,0.6661377038920782,0.358660464428315,0.8935598138623015
12,bernoulli,1,max,1.0,raw,18,0.4312920349477491,0.6401027248431923,0.3673754272043107,0.8824580460204734
35,bernoulli,1,max,1.0,raw,18,0.4316300093091957,0.670697984126724,0.3570940984923048,0.8948378754515703
32,bernoulli,1,max,1.0,raw,18,0.4420739415609603,0.6302140566169293,0.3542002587188775,0.8987954749200744
10,bernoulli,1,max,1.0,raw,18,0.431896168594386,0.6411715880234573,0.3526953775978514,0.8998747820706321
30,bernoulli,1,max,1.0,raw,18,0.4528922601380442,0.6151108039730135,0.3540584758923791,0.8985061246347928
49,bernoulli,1,max,1.0,raw,17,0.4466243127443378,0.6362304169043622,0.3627353175732511,0.8865467902924843
26,bernoulli,1,max,1.0,raw,18,0.4397212418580561,0.6287991225010121,0.351872191189249,0.9004825260033996
