seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
11,beta,1,max,1.0,0.05,raw,2,0.4533225483902896,0.5985302043729697,0.4132174559827315,0.7621982537236774
34,beta,1,max,1.0,0.05,raw,2,0.4452002701797505,0.608869031741798,0.4326055968650044,0.6578512396694216
31,beta,1,max,1.0,0.05,raw,2,0.4620353749116554,0.510121178473976,0.4603097811720267,0.7274582071870475
30,beta,1,max,1.0,0.05,raw,2,0.4585112872871561,0.5781726324337831,0.4328176064310537,0.7196725711218466
26,beta,1,max,1.0,0.05,raw,2,0.4476652900089268,0.5968132637131938,0.4242028193002885,0.703914804259787
4,beta,1,max,1.0,0.05,raw,2,0.4484139074040871,0.6319596235579842,0.4133306008711346,0.7463115289202246
33,beta,1,max,1.0,0.05,raw,3,0.4420830761707695,0.5944831847239758,0.4241614195861987,0.7495755517826825
23,beta,1,max,1.0,0.05,raw,3,0.4417867792596656,0.5753299082230072,0.4422055830476247,0.7027505446623094
45,beta,1,max,1.0,0.05,raw,2,0.4658782091288659,0.5105411822621653,0.4584334293072935,0.7426215277777778
46,beta,1,max,1.0,0.05,raw,2,0.4626249041594576,0.5336827296836704,0.4655338422138844,0.6550245098039216
5,beta,1,max,1.0,0.05,raw,3,0.4311144975271693,0.6142196699498867,0.4386319435267971,0.6910962301587302
32,beta,1,max,1.0,0.05,raw,2,0.4500282457546894,0.5808715660298425,0.4322282579942934,0.7759799135165295
24,beta,1,max,1.0,0.05,raw,2,0.4430839926895498,0.5617686964072506,0.4318877155899729,0.6197819314641745
18,beta,1,max,1.0,0.05,raw,3,0.4464650214164984,0.6097623171521436,0.4128821120381529,0.787940935192781
40,beta,1,max,1.0,0.05,raw,2,0.4343145753835865,0.6306025033139594,0.4159101612211839,0.7333616539224016
36,beta,1,max,1.0,0.05,raw,2,0.4689798427390113,0.5907493716337522,0.4267659306572401,0.6751505199781062
22,beta,1,max,1.0,0.05,raw,2,0.4503027731846268,0.5814192725311982,0.4353088104628433,0.7706243032329989
27,beta,1,max,1.0,0.05,raw,2,0.4581869787573044,0.5809241466463069,0.42535478775493,0.6821005917159764
49,beta,1,max,1.0,0.05,raw,2,0.4559341369358456,0.6031365928134038,0.4228761238559061,0.6848211848211848
47,beta,1,max,1.0,0.05,raw,2,0.4349655411489068,0.6020440316194704,0.4368646129033682,0.7298662298662298
29,beta,1,max,1.0,0.05,raw,3,0.4632366191086399,0.4973475394859043,0.4552060876466481,0.6582561728395062
48,beta,1,max,1.0,0.05,raw,3,0.452249569221574,0.577022586042065,0.3996065231027572,0.7699214365881033
44,beta,1,max,1.0,0.05,raw,2,0.4419177813235665,0.587768776333922,0.4265974603376607,0.6922332780541736
41,beta,1,max,1.0,0.05,raw,3,0.4499469825189449,0.5772440123959224,0.4097098873548243,0.7933006535947713
14,beta,1,max,1.0,0.05,raw,3,0.4482995954331754,0.58132815286146,0.4481791699228103,0.6706632653061224
15,beta,1,max,1.0,0.05,raw,3,0.4459173879385295,0.6038609819856855,0.4374522625900723,0.669016393442623
17,beta,1,max,1.0,0.05,raw,3,0.456641511940727,0.5330593278463649,0.4373206043285708,0.7035644667223615
19,beta,1,max,1.0,0.05,raw,3,0.4370782897368515,0.6080809820346083,0.4305859449473632,0.7162611354873023
10,beta,1,max,1.0,0.05,raw,3,0.4431133175642942,0.5999827025780367,0.4295859303505384,0.711104237550263
35,beta,1,max,1.0,0.05,raw,3,0.4446059192770514,0.5896212835774086,0.4088808666509263,0.7388167388167388
6,beta,1,max,1.0,0.05,raw,3,0.449425873483086,0.5794354316779566,0.4228720538876503,0.7565940366972478
9,beta,1,max,1.0,0.05,raw,3,0.4309399125748806,0.6318971920510448,0.4471807274348893,0.7025382025382025
1,beta,1,max,1.0,0.05,raw,3,0.4502718978250561,0.5697859949660982,0.4251574224745381,0.6414170506912443
37,beta,1,max,1.0,0.05,raw,3,0.4482994292366841,0.6046389052323,0.4167504067513369,0.7531152647975079
2,beta,1,max,1.0,0.05,raw,3,0.42949169205745,0.6349982913263134,0.4036649473853528,0.7817824377457404
7,beta,1,max,1.0,0.05,raw,3,0.4593956099317871,0.5340762581380682,0.4455487645119365,0.7255212077641984
25,beta,1,max,1.0,0.05,raw,3,0.4395716189530559,0.5981792578462425,0.4234708871382837,0.7477000630119722
21,beta,1,max,1.0,0.05,raw,3,0.4380739398321946,0.6153304537154095,0.4334437136490045,0.6680075087154733
8,beta,1,max,1.0,0.05,raw,4,0.446320730876254,0.5796973670192158,0.4363949136323519,0.6928977272727272
