item,assigned_skill,max_loading
242,2,0.04922758388813685
243,16,0.034990787563425614
244,0,0.042069557715425476
245,18,0.05716935670378401
246,0,0.03683991804102937
247,0,0.0484409060244354
248,18,0.04953024884238423
249,2,0.04133404182651504
250,16,0.0308998611088167
251,0,0.02958443218276183
252,16,0.03289521108614676
253,16,0.04340714040349697
254,16,0.042051863278700995
255,2,0.09091736596218834
256,17,0.024785122905382657
257,5,0.020791301291864808
258,0,0.05952959080859069
259,16,0.029827108027444038
260,16,0.051429014607193096
261,0,0.05423230125978931
262,2,0.062314538427364306
263,17,0.023672927680617777
264,16,0.029460045715090793
265,16,0.0381965319606569
266,2,0.06799556653614353
267,2,0.034925422605215875
268,0,0.037925488049000006
269,16,0.059011150607550134
270,2,0.046549961687602365
271,2,0.03961019280872158
272,16,0.034154251955227526
273,18,0.03770184159118975
274,18,0.03587337712833822
275,2,0.03317605122614003
276,0,0.04901574452330027
277,2,0.05439564810238313
278,2,0.04604861985506703
279,0,0.03342903533035403
280,18,0.017147175860867003
281,0,0.027450490383820997
282,18,0.04504510269433922
283,5,0.020576335663968222
284,0,0.06164883280662118
285,2,0.06261892416024732
286,18,0.03678116566564356
287,16,0.0676436021500999
288,0,0.0684958612956976
289,0,0.04377933652937736
290,18,0.03724531901820445
291,16,0.08067683622850491
292,2,0.05861150033568977
293,0,0.02724759845415358
294,16,0.02317942630796782
295,12,0.014929460399905236
296,16,0.08093924756013474
297,2,0.05797766898984552
298,16,0.02268847017226783
299,18,0.05542735227212211
300,2,0.0680972392930367
301,16,0.040725294403785056
302,2,0.06552116966665161
303,16,0.04679128551193977
304,0,0.0612061947913019
305,16,0.036455015558043015
306,0,0.06592276460765699
307,0,0.036110329295690025
308,18,0.024473417543134583
309,2,0.0489189920743224
310,0,0.05894730845088472
311,2,0.036004308610909384
312,16,0.057694472548569284
313,18,0.042732960003269864
314,16,0.05677326617396466
315,2,0.045269841119496675
316,0,0.04966807505485879
317,2,0.026457901488812826
318,2,0.035074707230087286
319,16,0.07578377546927179
320,2,0.064414576420834
321,2,0.05338266117840876
322,16,0.04475112228829354
323,2,0.04410807868743842
324,0,0.03781406586314745
325,16,0.04552034460136027
326,0,0.05532348997339559
327,16,0.04686213082523744
328,2,0.04851313105071038
329,5,0.027008032119570778
330,2,0.04817483350729233
331,2,0.054661993393144925
332,0,0.04118196063144659
333,16,0.047817042870058876
334,18,0.03906086464074028
335,18,0.03355019591525233
336,17,0.03304690796450863
337,0,0.06752957766810061
338,16,0.06697270632722523
339,2,0.06476074340914202
340,0,0.04513186565627208
341,17,0.034752162409275526
342,0,0.028642508800076343
343,0,0.025684866813758173
344,0,0.06375989427731354
345,2,0.054171269167893485
346,18,0.03231382822342106
347,2,0.031042445901201622
348,16,0.025907030672957954
349,0,0.054703131837972645
350,18,0.033481970829548076
351,2,0.060578319838130605
352,2,0.05942003588723576
353,18,0.045733853048851685
354,16,0.05101602786401335
355,16,0.03583575482846601
356,18,0.029939708577254996
357,17,0.037020147330105745
358,16,0.09145000029658672
359,0,0.03637139489003601
360,16,0.056759834313966306
361,2,0.04136873969540877
362,0,0.04472499205235048
363,2,0.03341912529393115
364,0,0.027752008968913198
365,2,0.0518563360810188
366,16,0.04332969225115129
367,16,0.04262635291119556
368,2,0.03963063125768618
369,16,0.05929838519618207
370,0,0.07021544919674805
371,18,0.04691553745131828
372,0,0.06679589576220644
373,0,0.033306539009269824
374,2,0.0535503712345106
375,0,0.04404913191929708
376,2,0.058378915016473
377,0,0.057323061872167166
378,2,0.04285734018250836
379,18,0.04124549630053848
380,18,0.07949752857051484
381,2,0.05918646488307403
382,2,0.037996312780886485
383,2,0.09048155173248665
384,0,0.03160995063823628
385,16,0.0192296727861354
386,16,0.03158357425908926
387,0,0.04546451481212937
388,15,0.016507587148550155
389,17,0.034078396276529845
390,0,0.04672038015856914
391,16,0.04878382902163764
392,2,0.07135812055524283
393,16,0.07973844555915775
394,2,0.027451671126455517
395,16,0.032858779943604685
