n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,beta,42,0.014,4166,0.2332149486643424,0.7389615004325794,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.6010099649429321, 0.7731621861457825, 0.6115186810493469, 0.6999600529670715, 0.6055529713630676, 0.6387359499931335, 0.679408073425293, 0.6863322854042053, 0.6176167130470276, 0.7055759429931641, 0.6712135672569275, 0.5885521173477173, 0.5869912505149841, 0.6116427183151245, 0.6256759166717529, 0.6374518275260925, 0.6150348782539368, 0.6126807332038879, 0.5882323384284973, 0.659217357635498, 0.6750460863113403, 0.6598252654075623, 0.774031400680542, 0.620366096496582, 0.7403683066368103, 0.5784639716148376, 0.6256834268569946, 0.5795888900756836, 0.7319453954696655, 0.6233815550804138]",raw,32
54,beta,13,0.005,4176,0.2247663281257035,0.7781447364792189,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8936274647712708, 0.859100341796875, 1.0004122257232666, 0.9225062131881714, 0.9280456304550171, 0.9972339868545532, 0.980617880821228, 0.8234087824821472, 1.092821478843689, 0.9546746611595154, 0.8838526010513306, 0.8591693639755249, 0.9127551317214966, 0.9285943508148193, 0.9121900200843811, 0.8466390371322632, 0.9189245104789734, 0.9011731147766113, 0.9556977152824402, 0.9124616980552673, 0.8999378681182861, 0.8726937770843506, 0.9723849892616272, 0.9232425093650818, 0.9036234617233276, 0.9654259085655212, 0.95960932970047, 0.9537553191184998, 0.9908225536346436, 0.9209834337234497]",raw,32
54,beta,28,0.002,4254,0.2755833620941921,0.7138054768649671,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9900299310684204, 0.9366008043289185, 0.9273091554641724, 0.8988831043243408, 0.9077008366584778, 0.8800165057182312, 0.9171304702758789, 0.9751498103141785, 0.8467323780059814, 0.9335328340530396, 0.9243081212043762, 0.8708325028419495, 0.9079689383506775, 0.9452322721481323, 0.8940743207931519, 0.8879281878471375, 0.9285135269165039, 0.8674737215042114, 0.9156588912010193, 0.8998901844024658, 0.931309163570404, 0.9140056371688843, 0.9433289766311646, 0.8849384188652039, 0.8855125904083252, 0.8922292590141296, 0.8709302544593811, 1.0064122676849365, 1.097350835800171, 0.8780133724212646]",raw,32
54,beta,21,0.015,4252,0.2439799504851517,0.7029803577118156,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.6099914312362671, 0.6370722651481628, 0.5550448298454285, 0.5425509214401245, 0.5318781733512878, 0.60295170545578, 0.517305314540863, 0.6809927821159363, 0.5234732031822205, 0.644388735294342, 0.5338335037231445, 0.5739507675170898, 0.5352535843849182, 0.5890041589736938, 0.5544984340667725, 0.5343666076660156, 0.5245412588119507, 0.6181733012199402, 0.5223284363746643, 0.5201247334480286, 0.5489873886108398, 0.5382973551750183, 0.539006233215332, 0.5206264853477478, 0.6904358267784119, 0.637606680393219, 0.5826728940010071, 0.548760175704956, 0.5501261949539185, 0.5463026762008667]",raw,32
54,beta,49,0.015,4193,0.2441193914716526,0.7241136363636363,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5049453973770142, 0.5037258267402649, 0.5054729580879211, 0.5832566618919373, 0.4870838224887848, 0.49634796380996704, 0.5170873999595642, 0.6223706603050232, 0.5887625813484192, 0.49148914217948914, 0.5510377287864685, 0.5032248497009277, 0.5551272630691528, 0.5124096870422363, 0.6609333753585815, 0.5177103281021118, 0.563127338886261, 0.4987102746963501, 0.4875331223011017, 0.49595198035240173, 0.49678850173950195, 0.47565487027168274, 0.4768770933151245, 0.5486140847206116, 0.4853285253047943, 0.5117683410644531, 0.6342127323150635, 0.484062522649765, 0.5464223623275757, 0.5525319576263428]",raw,32
54,beta,19,0.006,4233,0.2488014203867239,0.7357455366593747,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8137233257293701, 0.8196765780448914, 0.782893717288971, 0.8738231658935547, 0.9018046855926514, 0.8876453042030334, 0.8241440653800964, 0.8213986754417419, 0.8105042576789856, 0.8276578783988953, 1.064247727394104, 0.8163319230079651, 0.8830976486206055, 0.832737386226654, 0.7595149874687195, 0.8757510185241699, 0.7664704322814941, 0.8130653500556946, 0.8092581033706665, 0.9670578837394714, 0.8290227055549622, 0.8362372517585754, 0.8143088221549988, 0.8174265027046204, 0.8026450276374817, 0.809499979019165, 0.7486057281494141, 0.9192366003990173, 0.9763209223747253, 0.9060816764831543]",raw,32
54,beta,43,0.014,4197,0.2638161017536473,0.7228650467488595,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5365915298461914, 0.5175229907035828, 0.49818792939186096, 0.517020046710968, 0.51817387342453, 0.5115769505500793, 0.5552374124526978, 0.6477461457252502, 0.51905757188797, 0.5606500506401062, 0.5875932574272156, 0.5172796249389648, 0.5019088983535767, 0.5582746863365173, 0.6422567963600159, 0.673937201499939, 0.5248357653617859, 0.6679261326789856, 0.4944343566894531, 0.643854558467865, 0.5284262895584106, 0.5124046802520752, 0.5477939248085022, 0.5341215133666992, 0.5033735036849976, 0.6661246418952942, 0.5021761655807495, 0.529054582118988, 0.5464694499969482, 0.550748348236084]",raw,32
54,beta,34,0.004,4091,0.2458594508696742,0.7502780486970211,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9944764971733093, 0.917798638343811, 0.929482638835907, 0.9415491819381714, 0.9737032651901245, 0.922724187374115, 0.9619703888893127, 0.9306021928787231, 0.9650172591209412, 0.939402163028717, 0.9193798899650574, 0.9187044501304626, 0.9047260284423828, 0.9535472393035889, 0.8969434499740601, 0.9560421109199524, 0.8990660309791565, 0.9782659411430359, 0.9147841930389404, 0.9558959603309631, 0.9452548027038574, 0.9031940698623657, 0.906294047832489, 0.9131153225898743, 0.950020432472229, 0.9154333472251892, 1.0185402631759644, 0.9187584519386292, 0.9414665699005127, 0.9255520105361938]",raw,32
54,beta,6,0.004,4117,0.2639537152686994,0.7081557484872402,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9465309977531433, 1.037411093711853, 0.9303963780403137, 1.0101368427276611, 0.9813593626022339, 0.9707609415054321, 0.9232625365257263, 0.9600318074226379, 0.9177445769309998, 0.9229381084442139, 1.0463041067123413, 0.9494107961654663, 0.951384961605072, 0.9470158219337463, 1.0078661441802979, 0.8777275085449219, 1.0009137392044067, 1.0382654666900635, 0.9864194393157959, 0.9197708368301392, 0.8874925374984741, 0.9923033714294434, 0.9730277061462402, 0.9505795240402222, 0.9511536955833435, 0.9472759962081909, 0.9283245801925659, 0.994019091129303, 0.8976170420646667, 0.9739683270454407]",raw,32
54,beta,2,0.01,4209,0.2206157832206196,0.7815191236068895,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.7502837777137756, 0.6546292304992676, 0.8173600435256958, 0.7786361575126648, 0.6763821840286255, 0.7334671020507812, 0.7512972950935364, 0.8825998306274414, 0.803066074848175, 0.673424243927002, 0.736046314239502, 0.8901531100273132, 0.7204708456993103, 0.8256199359893799, 0.7444801926612854, 0.7514362335205078, 0.7521076202392578, 0.7890377044677734, 0.7219530940055847, 0.7493262887001038, 0.7832379341125488, 0.7584764361381531, 0.8384851217269897, 0.7436355352401733, 0.7445451021194458, 0.7368506193161011, 0.7307210564613342, 0.667412519454956, 0.8692619800567627, 0.7251682877540588]",raw,32
