seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
49,bernoulli,1,64,1.0,1.0,raw,3,0.4265093571183173,0.5623316964992872,0.2179884255665702,0.9705596790371112
37,bernoulli,1,64,1.0,1.0,raw,4,0.4141412696048978,0.5679493564896021,0.2035984427261846,0.9717852997205224
42,bernoulli,1,64,1.0,1.0,raw,5,0.4123474626565527,0.5827462612779633,0.2397068714137272,0.9609730212139852
33,bernoulli,1,64,1.0,1.0,raw,4,0.4198911966162323,0.5658713692946059,0.2202724711259458,0.9693325898809668
28,bernoulli,1,64,1.0,1.0,raw,4,0.4302166022028691,0.5816493547371735,0.2382406059371508,0.9575911231108624
23,bernoulli,1,64,1.0,1.0,raw,5,0.4224675926216909,0.5593973156672115,0.2258926634798453,0.961576458394066
20,bernoulli,1,64,1.0,1.0,raw,5,0.4086851167365783,0.5665905866387021,0.2130659413942397,0.9731672179700768
12,bernoulli,1,64,1.0,1.0,raw,4,0.4094153842953823,0.5605365659777424,0.2265549115850383,0.9646206206206206
29,bernoulli,1,64,1.0,1.0,raw,4,0.4174021329500365,0.575447285057779,0.22438177103861,0.966868681990857
10,bernoulli,1,64,1.0,1.0,raw,5,0.4133133498996018,0.5839052287581701,0.2296898092426292,0.9651109447811286
5,bernoulli,1,64,1.0,1.0,raw,4,0.4147975443307514,0.5881396819793183,0.1997238096170194,0.972396025027604
7,bernoulli,1,64,1.0,1.0,raw,6,0.4051096573772499,0.5774885072149151,0.2017296770535789,0.9634114145826334
46,bernoulli,1,64,1.0,1.0,raw,5,0.4117316372499426,0.5655833333333333,0.218343160569785,0.9666280351868396
4,bernoulli,1,64,1.0,1.0,raw,4,0.4122393254054169,0.5828080496801606,0.2184880680960733,0.9687461133244264
17,bernoulli,1,64,1.0,1.0,raw,4,0.4136450300430622,0.5407827252593542,0.2076749331965441,0.9698025082422912
30,bernoulli,1,64,1.0,1.0,raw,4,0.4045788983764257,0.6135455584280862,0.2070492880538615,0.9760400801603206
34,bernoulli,1,64,1.0,1.0,raw,5,0.408526771409394,0.5504299965600274,0.213490044743068,0.9702281447517156
21,bernoulli,1,64,1.0,1.0,raw,3,0.3966785387692143,0.5687824536929396,0.2287070214565827,0.9603949394415608
24,bernoulli,1,64,1.0,1.0,raw,4,0.4418991847346482,0.5767635102821617,0.2210193073994787,0.9629760724904431
15,bernoulli,1,64,1.0,1.0,raw,6,0.4134866380792849,0.59169964669669,0.2434459415974997,0.9575479093551382
38,bernoulli,1,64,1.0,1.0,raw,5,0.4178474107535874,0.61259311039454,0.2340732221095654,0.9675163546131288
39,bernoulli,1,64,1.0,1.0,raw,4,0.4229495703608324,0.5635715661722212,0.2102702324495605,0.9701955358414552
18,bernoulli,1,64,1.0,1.0,raw,6,0.4020772440190648,0.5970665908259862,0.2091791012254436,0.9721106648817492
1,bernoulli,1,64,1.0,1.0,raw,5,0.4267625262875215,0.5635855333003044,0.2126520640082462,0.9694555112881804
0,bernoulli,1,64,1.0,1.0,raw,6,0.427500534587102,0.5506929090620079,0.2127789370640375,0.9740333509149188
43,bernoulli,1,64,1.0,1.0,raw,5,0.4311939880373975,0.5685273111758369,0.1999382135945518,0.980410325909477
19,bernoulli,1,64,1.0,1.0,raw,6,0.3958230916588922,0.6000149954131677,0.2119405967167804,0.9762607743225868
8,bernoulli,1,64,1.0,1.0,raw,5,0.4195135393435754,0.564848134820146,0.2167928025146687,0.9693104838709676
16,bernoulli,1,64,1.0,1.0,raw,5,0.4247389819314216,0.5506092009146701,0.2070044824102236,0.9710497703779432
41,bernoulli,1,64,1.0,1.0,raw,5,0.3937429162553854,0.5747683549469033,0.2120806131831751,0.9706304962311556
6,bernoulli,1,64,1.0,1.0,raw,6,0.4259235424293333,0.5699881610102604,0.2120369322063901,0.9701539543863094
45,bernoulli,1,64,1.0,1.0,raw,4,0.4287913774871122,0.5344756561654047,0.2399570678890749,0.9649880566735382
40,bernoulli,1,64,1.0,1.0,raw,4,0.4036300245901447,0.6023719863221227,0.2227262253141722,0.9678918177457272
27,bernoulli,1,64,1.0,1.0,raw,6,0.4184074416984461,0.5563004870515562,0.2095886034062766,0.9728387096774194
3,bernoulli,1,64,1.0,1.0,raw,6,0.4136967032873129,0.5681985875408453,0.2171069496680953,0.9749910553123404
44,bernoulli,1,64,1.0,1.0,raw,4,0.4010014782210047,0.5412659320114332,0.2038685778460627,0.9705080878974636
13,bernoulli,1,64,1.0,1.0,raw,5,0.4266853707499143,0.5510011307537439,0.2229742489773561,0.971760229515535
35,bernoulli,1,64,1.0,1.0,raw,5,0.4103761356046396,0.5721967057918599,0.2167889705282329,0.9682061093351416
14,bernoulli,1,64,1.0,1.0,raw,6,0.4099158899747487,0.5781698569599171,0.2124244152308637,0.974249441551747
36,bernoulli,1,64,1.0,1.0,raw,4,0.4198851280989637,0.6367613912582313,0.2536241137600489,0.9676935967258548
48,bernoulli,1,64,1.0,1.0,raw,5,0.3905203488356151,0.5929888479961533,0.2024509267597132,0.9786031633197084
22,bernoulli,1,64,1.0,1.0,raw,5,0.4257146275745027,0.5535871018269711,0.2217662155067173,0.9659904680435047
9,bernoulli,1,64,1.0,1.0,raw,4,0.4019595969580874,0.5874746621621622,0.2022338170884819,0.9757370517928288
26,bernoulli,1,64,1.0,1.0,raw,6,0.4243505220558998,0.563516929779738,0.2194480317428846,0.9588129862723532
2,bernoulli,1,64,1.0,1.0,raw,5,0.4100165174518224,0.5404239488348531,0.208962011477641,0.9691225069631204
11,bernoulli,1,64,1.0,1.0,raw,6,0.4146687190467839,0.5696500969504672,0.2063315190704489,0.9748175594949788
47,bernoulli,1,64,1.0,1.0,raw,5,0.3926193253642355,0.5706721171213994,0.2537158692477469,0.9476318359375
32,bernoulli,1,64,1.0,1.0,raw,4,0.3974345992825757,0.5678378469076144,0.2257645053000164,0.965858391455452
25,bernoulli,1,64,1.0,1.0,raw,4,0.4364449688664176,0.5583058635500948,0.2158989482560939,0.974242374763242
31,bernoulli,1,64,1.0,1.0,raw,6,0.4038269703015161,0.5604771709290564,0.2169170562026456,0.9679548232455514
42,bernoulli,1,64,1.0,1.0,raw,6,0.4123418793919534,0.5623609566184649,0.2388251070275511,0.9605951332858964
23,bernoulli,1,64,1.0,1.0,raw,6,0.4240743563462693,0.6191387765637099,0.2338656931686511,0.9633053153240696
37,bernoulli,1,64,1.0,1.0,raw,5,0.4169932059425227,0.5713708251225305,0.2204806717421113,0.9671826149558944
33,bernoulli,1,64,1.0,1.0,raw,5,0.427070328661783,0.5718793222683264,0.2078764146738321,0.9717447695701712
49,bernoulli,1,64,1.0,1.0,raw,4,0.4165112225336036,0.557919033287321,0.2138408487901635,0.9730792377131394
28,bernoulli,1,64,1.0,1.0,raw,5,0.4331849207032853,0.5544664778092541,0.2309826439492833,0.957595238879194
20,bernoulli,1,64,1.0,1.0,raw,6,0.4078471443105757,0.5838936524582073,0.21754843374005,0.971541476527352
10,bernoulli,1,64,1.0,1.0,raw,6,0.4132368204504081,0.5577837195484254,0.2288456188793932,0.9621572462193464
7,bernoulli,1,64,1.0,1.0,raw,7,0.4090205682080634,0.5581024134848679,0.2226964596362663,0.9620993935902974
46,bernoulli,1,64,1.0,1.0,raw,6,0.4172017555801526,0.5520378787878787,0.2145871797852686,0.9685636332906776
29,bernoulli,1,64,1.0,1.0,raw,5,0.4161188418436036,0.6035968708636357,0.2200387559425064,0.9688727383941794
5,bernoulli,1,64,1.0,1.0,raw,5,0.4141888515657011,0.5794757512907639,0.2135286656740693,0.9717650770282348
12,bernoulli,1,64,1.0,1.0,raw,5,0.4120153527778821,0.558879173290938,0.2351432131325029,0.9657057057057056
17,bernoulli,1,64,1.0,1.0,raw,5,0.4154103492070244,0.5819770660916191,0.2144654237455069,0.968869189992889
4,bernoulli,1,64,1.0,1.0,raw,5,0.4134571941237917,0.5730261007610776,0.2186583258767599,0.9691593547015231
30,bernoulli,1,64,1.0,1.0,raw,5,0.4040520521083269,0.6126621876798145,0.2073691597455884,0.9733947895791584
34,bernoulli,1,64,1.0,1.0,raw,6,0.4133869093767518,0.5439456484348125,0.2175160499246898,0.9691335912499404
21,bernoulli,1,64,1.0,1.0,raw,4,0.3979492936397552,0.5847218992999044,0.2265625575493048,0.9622878867247648
15,bernoulli,1,64,1.0,1.0,raw,7,0.4209768306366384,0.5936102139532062,0.2593157321363489,0.9555820881122086
24,bernoulli,1,64,1.0,1.0,raw,5,0.4424730086850094,0.5870456719273075,0.2202018936984647,0.9629885650989832
38,bernoulli,1,64,1.0,1.0,raw,6,0.4169071477078723,0.5409009252786735,0.2180080860288647,0.9669362895169348
18,bernoulli,1,64,1.0,1.0,raw,7,0.4037296905369825,0.6147239263803682,0.2007088749686671,0.9736366099317906
39,bernoulli,1,64,1.0,1.0,raw,5,0.4253016754555545,0.5777513278476484,0.2024633286232079,0.970683866767046
1,bernoulli,1,64,1.0,1.0,raw,6,0.4244335614222344,0.5476112959162007,0.2192123159822504,0.9665646357658796
19,bernoulli,1,64,1.0,1.0,raw,7,0.3968472065542633,0.6262701997036201,0.2123026646830921,0.9776814768957252
