n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,bernoulli,2,0.01,877,0.3510750570273969,0.8014580167173253,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.2229008972644806, 0.21199148893356323, 0.2222127914428711, 0.2214101254940033, 0.22311893105506897, 0.21588656306266785, 0.2180926352739334, 0.2157934606075287, 0.22122471034526825, 0.21344731748104095, 0.21663181483745575, 0.21804100275039673, 0.21572540700435638, 0.22047710418701172, 0.2127227485179901, 0.2143884003162384, 0.21642851829528809, 0.21855738759040833, 0.21604716777801514, 0.21418456733226776, 0.2219083458185196, 0.2114586979150772, 0.21657070517539978, 0.21466411650180817, 0.21565158665180206, 0.21429328620433807, 0.21770767867565155, 0.21262334287166595, 0.21155650913715363, 0.21833936870098114]",raw,32
54,bernoulli,19,0.006,863,0.3770198071257446,0.723484581186931,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.33848538994789124, 0.3453466296195984, 0.33427169919013977, 0.34127745032310486, 0.3446705639362335, 0.34455588459968567, 0.33366480469703674, 0.3345738649368286, 0.3347737193107605, 0.3386509418487549, 0.34234899282455444, 0.33782312273979187, 0.3422127366065979, 0.33835434913635254, 0.33304405212402344, 0.3420368731021881, 0.33559584617614746, 0.33557558059692383, 0.33654722571372986, 0.34691253304481506, 0.3370157480239868, 0.3401730954647064, 0.3345049321651459, 0.3359593451023102, 0.3376525640487671, 0.3347271680831909, 0.33454519510269165, 0.34863045811653137, 0.3378334641456604, 0.3368638753890991]",raw,32
54,bernoulli,40,0.005,856,0.3414100965374845,0.7528891673628516,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.3761198818683624, 0.3755940794944763, 0.3774840533733368, 0.37910082936286926, 0.375532329082489, 0.3751586973667145, 0.37777575850486755, 0.3862009644508362, 0.379156231880188, 0.37714219093322754, 0.3760826885700226, 0.3770028054714203, 0.380717009305954, 0.3754415810108185, 0.3790619373321533, 0.3743458688259125, 0.3771061897277832, 0.38372603058815, 0.38230839371681213, 0.38828518986701965, 0.38389918208122253, 0.3808573782444, 0.3741733133792877, 0.3773690462112427, 0.3793626129627228, 0.37838980555534363, 0.3750354051589966, 0.3737371861934662, 0.3827050030231476, 0.3765939474105835]",raw,32
54,bernoulli,24,0.008,847,0.4394509039928684,0.6906205164992827,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.2763170897960663, 0.2781396210193634, 0.2769334614276886, 0.2761329114437103, 0.2794898748397827, 0.2812551259994507, 0.2803713381290436, 0.2760390341281891, 0.27597665786743164, 0.2805669903755188, 0.2779133915901184, 0.2759469449520111, 0.27737510204315186, 0.2794031500816345, 0.27780768275260925, 0.2743288278579712, 0.28034698963165283, 0.2784900665283203, 0.27738556265830994, 0.2769182026386261, 0.2797536551952362, 0.2804141342639923, 0.28209584951400757, 0.27552667260169983, 0.2798081338405609, 0.2753664553165436, 0.2763034701347351, 0.28336334228515625, 0.2839747369289398, 0.2805447280406952]",raw,32
54,bernoulli,36,0.012,849,0.3817362350288017,0.7438679453749945,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.12565478682518005, 0.13231304287910461, 0.13829229772090912, 0.13493405282497406, 0.1254435032606125, 0.1252349615097046, 0.12813162803649902, 0.12540818750858307, 0.12466730922460556, 0.12585827708244324, 0.12659671902656555, 0.1268693208694458, 0.13100780546665192, 0.12971028685569763, 0.1308220475912094, 0.12623579800128937, 0.12494797259569168, 0.13573898375034332, 0.1243910863995552, 0.12828725576400757, 0.12641212344169617, 0.12606480717658997, 0.1275511533021927, 0.12688839435577393, 0.12610985338687897, 0.12468492239713669, 0.12729699909687042, 0.129752054810524, 0.12460355460643768, 0.12562808394432068]",raw,32
54,bernoulli,7,0.004,809,0.3589845069992935,0.7501915464180818,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4052821397781372, 0.40464261174201965, 0.40557777881622314, 0.40886572003364563, 0.40667733550071716, 0.4067925214767456, 0.4065481424331665, 0.40744248032569885, 0.40560948848724365, 0.40921467542648315, 0.403933048248291, 0.4061441719532013, 0.41221630573272705, 0.4063509702682495, 0.4058654308319092, 0.41094109416007996, 0.40624022483825684, 0.4087163209915161, 0.4047350585460663, 0.4210129678249359, 0.4048658311367035, 0.40614935755729675, 0.4047204554080963, 0.4064684808254242, 0.413402795791626, 0.4059138000011444, 0.4062226712703705, 0.4059349596500397, 0.40515395998954773, 0.4099073112010956]",raw,32
54,bernoulli,42,0.014,803,0.3859092640296865,0.664411074032876,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.06187564134597778, 0.06285285204648972, 0.06923429667949677, 0.06428974866867065, 0.06152694672346115, 0.06394129991531372, 0.06874964386224747, 0.0617961548268795, 0.06029386445879936, 0.07214861363172531, 0.06205939128994942, 0.0630713477730751, 0.06312872469425201, 0.06209372356534004, 0.06481903791427612, 0.0652628168463707, 0.0608573853969574, 0.06180562451481819, 0.062147028744220734, 0.06707999855279922, 0.0676460862159729, 0.06244395300745964, 0.06302698701620102, 0.06374838203191757, 0.06854894012212753, 0.06546150892972946, 0.06885018944740295, 0.06306114792823792, 0.0620478019118309, 0.0635274276137352]",raw,32
54,bernoulli,48,0.015,841,0.3739622778228458,0.6652641896765364,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.046424198895692825, 0.029697109013795853, 0.03471013903617859, 0.029718536883592606, 0.03309987485408783, 0.03598455339670181, 0.035865601152181625, 0.041755083948373795, 0.036727551370859146, 0.03289586678147316, 0.03596494346857071, 0.03237111493945122, 0.03173993527889252, 0.029395928606390953, 0.0337010882794857, 0.03218129649758339, 0.034428708255290985, 0.03205259516835213, 0.03351421654224396, 0.039308737963438034, 0.03302439674735069, 0.04074221849441528, 0.040156349539756775, 0.03513497859239578, 0.033998165279626846, 0.03648800775408745, 0.04175816848874092, 0.0356389582157135, 0.030850645154714584, 0.03497889265418053]",raw,32
54,bernoulli,8,0.012,784,0.3869147911623352,0.6892593198411873,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.13285769522190094, 0.13442063331604004, 0.13503551483154297, 0.13567900657653809, 0.1312684416770935, 0.13455955684185028, 0.13380935788154602, 0.1341712772846222, 0.13463030755519867, 0.13669385015964508, 0.13201093673706055, 0.13329090178012848, 0.14070574939250946, 0.13458408415317535, 0.1335526704788208, 0.14172519743442535, 0.13754332065582275, 0.14277870953083038, 0.14171499013900757, 0.1372837871313095, 0.13711300492286682, 0.13818170130252838, 0.13133732974529266, 0.13254982233047485, 0.13653486967086792, 0.13338808715343475, 0.13118650019168854, 0.13192488253116608, 0.13219113647937775, 0.13528107106685638]",raw,32
54,bernoulli,20,0.015,821,0.3639521812322243,0.7547113071371291,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.02334616892039776, 0.026175474748015404, 0.02246916852891445, 0.027880432084202766, 0.033815015107393265, 0.024165399372577667, 0.02408072166144848, 0.024646194651722908, 0.027229439467191696, 0.036452796310186386, 0.027409473434090614, 0.0267283096909523, 0.02718418277800083, 0.0269891619682312, 0.023540958762168884, 0.02623727172613144, 0.02822357416152954, 0.03436431661248207, 0.028422143310308456, 0.029497483745217323, 0.025342846289277077, 0.026674669235944748, 0.026780301705002785, 0.024992313235998154, 0.03098008967936039, 0.02907019667327404, 0.025793399661779404, 0.027158062905073166, 0.02489010989665985, 0.023672595620155334]",raw,32
