n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,bernoulli,46,0.006,825,0.3813873348523163,0.6752272727272728,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.3913426995277405, 0.3944341540336609, 0.4033033549785614, 0.3970998525619507, 0.3960929214954376, 0.39616262912750244, 0.39586684107780457, 0.401204377412796, 0.40130892395973206, 0.4058885872364044, 0.39527732133865356, 0.39855366945266724, 0.39112386107444763, 0.4011918604373932, 0.39358699321746826, 0.3975965082645416, 0.3927263617515564, 0.40238484740257263, 0.40010297298431396, 0.3963482081890106, 0.3945205509662628, 0.39739152789115906, 0.39345434308052063, 0.39065566658973694, 0.4052520990371704, 0.3938085734844208, 0.4063321352005005, 0.39477792382240295, 0.39237087965011597, 0.39371198415756226]",pca,32
54,bernoulli,15,0.014,804,0.3607845031670912,0.7913558810206854,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.10431264340877533, 0.10184214264154434, 0.10287754982709885, 0.10565023124217987, 0.10308074951171875, 0.1037011444568634, 0.10664267092943192, 0.10243280977010727, 0.10734187066555023, 0.10512259602546692, 0.10677464306354523, 0.10792570561170578, 0.1018272414803505, 0.09722428023815155, 0.10786318778991699, 0.10067696124315262, 0.10440453886985779, 0.10718148201704025, 0.10903404653072357, 0.10578666627407074, 0.10685762763023376, 0.10335265845060349, 0.09818601608276367, 0.10018105059862137, 0.10845930129289627, 0.10840921849012375, 0.10280269384384155, 0.10597962886095047, 0.10536397993564606, 0.10341303050518036]",pca,32
54,bernoulli,9,0.012,843,0.3565990795659559,0.735760135135135,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.1876523494720459, 0.190431609749794, 0.18862563371658325, 0.1877695769071579, 0.18809664249420166, 0.19303284585475922, 0.18288086354732513, 0.18750452995300293, 0.18066701292991638, 0.18678313493728638, 0.19255784153938293, 0.18602581322193146, 0.1889115869998932, 0.18884949386119843, 0.18645547330379486, 0.18592029809951782, 0.17881089448928833, 0.18621453642845154, 0.1880597025156021, 0.18789605796337128, 0.18498653173446655, 0.19032512605190277, 0.1927644908428192, 0.18625164031982422, 0.18286021053791046, 0.18781745433807373, 0.18258915841579437, 0.18460987508296967, 0.18134602904319763, 0.1793469488620758]",pca,32
54,bernoulli,36,0.012,849,0.3714242968830746,0.7664368527275673,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.1811252385377884, 0.17270921170711517, 0.17842280864715576, 0.1758439838886261, 0.17437644302845, 0.17688164114952087, 0.18522049486637115, 0.17475242912769318, 0.17995427548885345, 0.17345348000526428, 0.18637333810329437, 0.17743225395679474, 0.18263792991638184, 0.17693601548671722, 0.1735674887895584, 0.17884361743927002, 0.17544367909431458, 0.17868877947330475, 0.18229062855243683, 0.18586669862270355, 0.1760549247264862, 0.17551589012145996, 0.18290935456752777, 0.17629852890968323, 0.1778007447719574, 0.17768660187721252, 0.18004435300827026, 0.17742103338241577, 0.17724289000034332, 0.1837955117225647]",pca,32
54,bernoulli,40,0.005,856,0.3502806606847601,0.722004664438875,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4283073842525482, 0.4323894679546356, 0.43648502230644226, 0.4294305443763733, 0.4283064305782318, 0.4343824088573456, 0.4291028678417206, 0.42604267597198486, 0.4312293529510498, 0.4309300184249878, 0.4317455589771271, 0.43085458874702454, 0.4324410557746887, 0.4336665868759155, 0.4285256266593933, 0.43342629075050354, 0.42825889587402344, 0.42439374327659607, 0.4243626296520233, 0.4312063455581665, 0.43004482984542847, 0.43125417828559875, 0.42856571078300476, 0.4381765127182007, 0.4310033321380615, 0.434405654668808, 0.43058931827545166, 0.42800503969192505, 0.4270707964897156, 0.4345419406890869]",pca,32
54,bernoulli,30,0.01,833,0.372571672482488,0.6949939622825003,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.2586483359336853, 0.24925057590007782, 0.24721473455429077, 0.25386208295822144, 0.2578052878379822, 0.2500176429748535, 0.25072675943374634, 0.24593842029571533, 0.26026663184165955, 0.2573903799057007, 0.2570951581001282, 0.25836485624313354, 0.25469833612442017, 0.26011812686920166, 0.2611745595932007, 0.25881427526474, 0.2560743987560272, 0.26123470067977905, 0.2590949237346649, 0.2537723183631897, 0.2654276490211487, 0.25707709789276123, 0.2561367154121399, 0.24478359520435333, 0.26127126812934875, 0.2619759440422058, 0.25661614537239075, 0.2596272826194763, 0.2448643445968628, 0.2501507103443146]",pca,32
54,bernoulli,6,0.004,841,0.386056795871979,0.7471060247303342,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4503152370452881, 0.4509303569793701, 0.4614509046077728, 0.4568100571632385, 0.45410871505737305, 0.45273640751838684, 0.46284347772598267, 0.4637306332588196, 0.45710477232933044, 0.4645262360572815, 0.45682212710380554, 0.4638553261756897, 0.4590855836868286, 0.4505522847175598, 0.4577425718307495, 0.4610772132873535, 0.4594356119632721, 0.45638567209243774, 0.4578723609447479, 0.4607863128185272, 0.4570201337337494, 0.46217015385627747, 0.457365483045578, 0.4605760872364044, 0.45966291427612305, 0.45517417788505554, 0.4637299180030823, 0.45744654536247253, 0.45875078439712524, 0.4537593126296997]",pca,32
54,bernoulli,42,0.014,803,0.3612330131100832,0.7808212829069338,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.09753704816102982, 0.09760864824056625, 0.10657988488674164, 0.09953071177005768, 0.10796166211366653, 0.10223689675331116, 0.0994783267378807, 0.09567048400640488, 0.0955064594745636, 0.10293196886777878, 0.10299818962812424, 0.10314694046974182, 0.09554799646139145, 0.09724834561347961, 0.10190297663211823, 0.09804714471101761, 0.10593662410974503, 0.09711569547653198, 0.09617016464471817, 0.0922033041715622, 0.09456707537174225, 0.09986750781536102, 0.10251607745885849, 0.0948432981967926, 0.10277478396892548, 0.09660215675830841, 0.1013648733496666, 0.10694645345211029, 0.10197281837463379, 0.09400000423192978]",pca,32
54,bernoulli,34,0.004,801,0.3697855326542263,0.71820406207758,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4700852036476135, 0.4723452925682068, 0.4747578799724579, 0.47290265560150146, 0.4768926501274109, 0.472258061170578, 0.47216522693634033, 0.479985773563385, 0.47321391105651855, 0.4744940400123596, 0.4721844792366028, 0.4757157266139984, 0.4656047523021698, 0.47014349699020386, 0.4690849184989929, 0.4735793173313141, 0.47603416442871094, 0.47046393156051636, 0.4717470705509186, 0.4659077227115631, 0.47423234581947327, 0.46865981817245483, 0.4677828848361969, 0.47176265716552734, 0.4736887812614441, 0.4765497148036957, 0.47481292486190796, 0.4728547930717468, 0.47181540727615356, 0.4716246426105499]",pca,32
54,bernoulli,48,0.015,841,0.347340858643064,0.7299938969133177,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.09090439230203629, 0.08169987797737122, 0.08053571730852127, 0.08973865956068039, 0.08722995966672897, 0.08141914010047913, 0.08440586924552917, 0.08212701231241226, 0.08741389214992523, 0.08565273135900497, 0.08886593580245972, 0.08885674923658371, 0.08790793269872665, 0.08505376428365707, 0.08753891289234161, 0.0828421488404274, 0.08943706005811691, 0.0810309424996376, 0.08178957551717758, 0.08721436560153961, 0.07738935202360153, 0.07859481126070023, 0.09246964752674103, 0.09060990065336227, 0.08843051642179489, 0.07859548181295395, 0.08853135257959366, 0.08782663941383362, 0.09078998118638992, 0.07922179996967316]",pca,32
