seed,lambda_tau,n_samples,model_type,pre_revision,j_percentage,embedding_type,baseline_embedding_type,novelty_bin,novelty_bin_order,num_items,num_pairs,mean_dmin,q50_dmin,q80_dmin,auc_knn,rmse_knn,brier_knn,logloss_knn,ece_knn,mean_ae_knn,p90ae_knn,p95ae_knn,auc_araf,rmse_araf,brier_araf,logloss_araf,ece_araf,mean_ae_araf,p90ae_araf,p95ae_araf
8,30.0,1,beta,32,0.7,sae,raw,inlier,0,36,288,0.0803460478782653,0.1247857511043548,0.1878532618284225,0.6986465781409601,0.4342368228606303,0.1885616338707572,0.6207349421685399,0.0890410198605942,0.3742761812237505,0.6842462956905366,0.7671734392642975,0.7446373850868233,0.4099090557882094,0.1680254314725699,0.5840825656610791,0.0643083794533999,0.3310442578125124,0.7088118284940722,0.8061035335063934
8,30.0,1,beta,32,0.7,sae,raw,moderate,1,21,168,0.1525935530662536,0.1247857511043548,0.1878532618284225,0.6739357729648991,0.4515220142153628,0.2038721367482877,0.6535192232752239,0.1247300863657267,0.4014614555940387,0.6853915423154832,0.7886540338397027,0.6964899178491412,0.440420434012972,0.1939701659473482,0.6259896414082844,0.1211300212889909,0.377475250290618,0.7078688532114029,0.7891197204589844
8,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2467979490756988,0.1247857511043548,0.1878532618284225,0.617854125598423,0.4582113533549514,0.2099576352168323,0.6987021189361118,0.1309939198195934,0.4231419694920381,0.6575907781720162,0.6855662405490874,0.5190087299352295,0.5095636545011687,0.2596551297457175,0.8096348842133316,0.2209338821470737,0.447983747596542,0.7827063560485841,0.8262960962951184
24,30.0,1,beta,32,0.7,sae,raw,inlier,0,38,276,0.0646826103329658,0.1319466829299926,0.1966296434402465,0.6106670267350797,0.4582094021340384,0.2099558507279819,0.7115023814897582,0.1428689344871262,0.4048698770347982,0.6779058575630188,0.7230554521083832,0.6240345665676479,0.4665201715736577,0.2176410614153845,0.7157122396622468,0.1333978338491009,0.3944397842025627,0.7516116797924042,0.8225263692438602
24,30.0,1,beta,32,0.7,sae,raw,moderate,1,22,176,0.1595083624124527,0.1319466829299926,0.1966296434402465,0.655297157622739,0.4133461747975475,0.1708550643721546,0.6737659587081917,0.0812256158361296,0.355723843280099,0.6317877918481827,0.7313096672296524,0.6377260981912144,0.4357952726781307,0.1899175339524137,0.7411637051268601,0.1556432730602947,0.3620665995404124,0.7230511344969273,0.8142922483384609
24,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2419475018978119,0.1319466829299926,0.1966296434402465,0.6718881118881118,0.4276618721884753,0.1828946743475049,0.6499222195563839,0.0787925629566113,0.3880193971097469,0.6265802502632142,0.6982815504074096,0.794965034965035,0.3808689605289142,0.1450611534470184,0.5477885188290502,0.1137504156678915,0.3291192354013522,0.6241310358047486,0.740265879034996
2,30.0,1,beta,32,0.7,sae,raw,inlier,0,36,288,0.0750856027007103,0.1414338648319244,0.2036330997943878,0.5515376984126985,0.482993663514276,0.2332828697457503,0.8206312185260309,0.1520291328806583,0.4225343420338403,0.7360683530569077,0.8127767682075501,0.5999503968253969,0.4969839684339637,0.2469930617114407,0.7659226878627818,0.1967645491822622,0.4130419442598294,0.8202159553766252,0.8568760722875594
2,30.0,1,beta,32,0.7,sae,raw,moderate,1,21,168,0.1692736595869064,0.1414338648319244,0.2036330997943878,0.6289156626506025,0.4627610037189367,0.2141477398624441,0.7686552035051042,0.10710428669704,0.4134203164527814,0.7014017462730407,0.7349089413881302,0.6372785258681786,0.4961917810376709,0.2462062764714009,0.75740616118773,0.1966690436182986,0.4236364803232607,0.8233386889100075,0.8469575092196465
2,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2775443792343139,0.1414338648319244,0.2036330997943878,0.7295030072807851,0.3992282089934302,0.1593831699748066,0.584218523931693,0.1673150812005341,0.3393578364513814,0.6887601375579834,0.7365042805671692,0.6457739791073125,0.4305421825437717,0.1853665850795915,0.6443875583907268,0.1185051071768005,0.3552921239907542,0.7298731505870819,0.8121030777692795
28,30.0,1,beta,32,0.7,sae,raw,inlier,0,36,288,0.061656005680561,0.0996245741844177,0.1841323375701904,0.7269097222222222,0.4137993642222727,0.1712299245404877,0.5974696172574663,0.0763892569632683,0.3472455097815125,0.6438672840595246,0.7191248983144759,0.7427083333333333,0.4201460129245082,0.1765226775559052,0.599621050414301,0.0740144650400098,0.3531482902407232,0.6952900469303132,0.7768881037831307
28,30.0,1,beta,32,0.7,sae,raw,moderate,1,21,168,0.1406643688678741,0.0996245741844177,0.1841323375701904,0.5505681818181818,0.4749191905600147,0.2255482406472755,0.7428199191182923,0.1618793708373875,0.4292098740115762,0.6860657006502152,0.7432399481534959,0.6109374999999999,0.4833292902031966,0.2336072073402243,0.7777748957902094,0.196931845331121,0.3999557210842058,0.8420026212930679,0.8777753662317993
28,30.0,1,beta,32,0.7,sae,raw,outlier,2,15,120,0.2290699928998947,0.0996245741844177,0.1841323375701904,0.7488571428571429,0.4127140039127898,0.1703328435979396,0.5961826881456377,0.1047170566860586,0.371434500735874,0.5962572425603867,0.6864748418331146,0.7814285714285714,0.3924423856119754,0.1540110396414082,0.5593806968919228,0.0856227057054638,0.3459246560931205,0.609102400392294,0.7080231890082359
