n_samples,model_type,seed,lambda_tau,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,bernoulli,4,0.0155,0.4339524409290419,0.6625391435578193,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.005987750366330147, 0.006343485787510872, 0.005469075404107571, 0.006860684137791395, 0.005163528025150299, 0.004010895732790232, 0.0055861035361886024, 0.006163943558931351, 0.002347697038203478, 0.0035331561230123043, 0.0073020607233047485, 0.004169398918747902, 0.007589676883071661, 0.009348059073090553, 0.006473700515925884, 0.006762707140296698, 0.006304656155407429, 0.006980657111853361, 0.0017839788924902678, 0.006448377389460802, 0.00520334905013442, 0.003309255000203848, 0.0043894764967262745, 0.008607595227658749, 0.005613562650978565, 0.0048702917993068695, 0.0014473162591457367, 0.003917043097317219, 0.00115360994823277, 0.00611399719491601]",sae,Pre-32
1,bernoulli,24,0.008,0.427312564583707,0.6494901327855623,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5093525648117065, 0.5083296298980713, 0.5084116458892822, 0.5080694556236267, 0.50681072473526, 0.509559154510498, 0.5065327882766724, 0.508787214756012, 0.5079039931297302, 0.5078698396682739, 0.5069757699966431, 0.5077959299087524, 0.5076101422309875, 0.509782612323761, 0.5062543749809265, 0.508367657661438, 0.5072762370109558, 0.5066388845443726, 0.5089899301528931, 0.5078431367874146, 0.5094342827796936, 0.5091472268104553, 0.5076881051063538, 0.5078589916229248, 0.5092841982841492, 0.5087597370147705, 0.5060524940490723, 0.5082665681838989, 0.5087533593177795, 0.5067979693412781]",sae,Pre-32
1,bernoulli,42,0.014,0.4105318438739173,0.7471797774004905,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5059537291526794, 0.5069869756698608, 0.507381021976471, 0.5085010528564453, 0.506576657295227, 0.5066299438476562, 0.5082606673240662, 0.507363498210907, 0.5089897513389587, 0.508830189704895, 0.5069684982299805, 0.5071437358856201, 0.5080391764640808, 0.5085562467575073, 0.5082260370254517, 0.5082166790962219, 0.5078816413879395, 0.5081340670585632, 0.507200300693512, 0.5075511336326599, 0.508709192276001, 0.5067237019538879, 0.5085070729255676, 0.5069602727890015, 0.5069267749786377, 0.5070863962173462, 0.506328821182251, 0.5063333511352539, 0.5084093809127808, 0.508820116519928]",sae,Pre-32
1,bernoulli,30,0.01,0.4161792308056335,0.7129056791423516,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.508520781993866, 0.5084578394889832, 0.5091367959976196, 0.5086157321929932, 0.509006679058075, 0.5079438090324402, 0.5081610679626465, 0.5091785192489624, 0.509035587310791, 0.5070984363555908, 0.5080394744873047, 0.5087724328041077, 0.5084308981895447, 0.5084843635559082, 0.5084109902381897, 0.5080980658531189, 0.5089476704597473, 0.5093886852264404, 0.5069806575775146, 0.5070241093635559, 0.5083102583885193, 0.5086918473243713, 0.5093832612037659, 0.5067724585533142, 0.5087407231330872, 0.5087603330612183, 0.5087443590164185, 0.5074071884155273, 0.5082462430000305, 0.5087730288505554]",sae,Pre-32
1,bernoulli,42,0.03,0.413145615615904,0.7347217506130919,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",sae,Pre-32
1,bernoulli,26,0.0151,0.4191172320405186,0.6945444352649592,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.506248950958252, 0.5063031911849976, 0.5070309638977051, 0.5082260966300964, 0.5072950124740601, 0.5074235200881958, 0.5062730312347412, 0.5059950351715088, 0.5080543160438538, 0.507182776927948, 0.5066081285476685, 0.506735622882843, 0.5074989199638367, 0.5070733428001404, 0.5076058506965637, 0.505875289440155, 0.5071257948875427, 0.5069944858551025, 0.5058769583702087, 0.5080726146697998, 0.5069891810417175, 0.5058830380439758, 0.5083827972412109, 0.5067388415336609, 0.5062329769134521, 0.5060486793518066, 0.5065622925758362, 0.5067020654678345, 0.5077510476112366, 0.506811797618866]",sae,Pre-32
1,bernoulli,44,0.016,0.4214002092131451,0.6742341476205043,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",sae,Pre-32
1,bernoulli,10,0.0159,0.4240743563462693,0.7074106817097471,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",sae,Pre-32
1,bernoulli,0,0.002,0.4244957864078202,0.683830808459577,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5125124454498291, 0.5119432806968689, 0.5122525691986084, 0.5117084383964539, 0.5123282670974731, 0.5093525648117065, 0.5124848484992981, 0.5086597204208374, 0.510405957698822, 0.5114454627037048, 0.5125336647033691, 0.5122523307800293, 0.512208878993988, 0.5119882822036743, 0.5127408504486084, 0.5097596049308777, 0.5120506286621094, 0.512493908405304, 0.5119209885597229, 0.5131187438964844, 0.511809229850769, 0.5122608542442322, 0.5110130906105042, 0.5122883915901184, 0.511289119720459, 0.5122784972190857, 0.5098220705986023, 0.5130889415740967, 0.5106329917907715, 0.5082306861877441]",sae,Pre-32
1,bernoulli,26,0.034,0.4207937902656413,0.7036690074353831,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",sae,Pre-32
