Loading Post-Revision Data...

Loading Pre-Revision Data...

==================================================
Tuning Scenario: Post-8
==================================================

--- Testing LAMBDA_TAU = 1.3 ---
Epoch  625 | Loss: 3.7129 | Train RMSE: 0.3678 AUC: 0.6956 | Test RMSE: 0.3164 AUC: 0.6948 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  650 | Loss: 3.6669 | Train RMSE: 0.3687 AUC: 0.6974 | Test RMSE: 0.3174 AUC: 0.6973 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  675 | Loss: 3.6259 | Train RMSE: 0.3695 AUC: 0.6991 | Test RMSE: 0.3183 AUC: 0.6992 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  700 | Loss: 3.5891 | Train RMSE: 0.3701 AUC: 0.7007 | Test RMSE: 0.3191 AUC: 0.6997 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  725 | Loss: 3.5558 | Train RMSE: 0.3707 AUC: 0.7022 | Test RMSE: 0.3198 AUC: 0.7019 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  750 | Loss: 3.5257 | Train RMSE: 0.3712 AUC: 0.7036 | Test RMSE: 0.3205 AUC: 0.7042 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  775 | Loss: 3.4983 | Train RMSE: 0.3717 AUC: 0.7051 | Test RMSE: 0.3210 AUC: 0.7053 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  800 | Loss: 3.4731 | Train RMSE: 0.3720 AUC: 0.7065 | Test RMSE: 0.3215 AUC: 0.7073 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  825 | Loss: 3.4500 | Train RMSE: 0.3724 AUC: 0.7079 | Test RMSE: 0.3219 AUC: 0.7094 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  850 | Loss: 3.4286 | Train RMSE: 0.3726 AUC: 0.7091 | Test RMSE: 0.3222 AUC: 0.7100 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  875 | Loss: 3.4088 | Train RMSE: 0.3728 AUC: 0.7103 | Test RMSE: 0.3225 AUC: 0.7112 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  900 | Loss: 3.3902 | Train RMSE: 0.3730 AUC: 0.7115 | Test RMSE: 0.3227 AUC: 0.7129 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  925 | Loss: 3.3728 | Train RMSE: 0.3731 AUC: 0.7126 | Test RMSE: 0.3229 AUC: 0.7144 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  950 | Loss: 3.3565 | Train RMSE: 0.3732 AUC: 0.7137 | Test RMSE: 0.3230 AUC: 0.7154 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  975 | Loss: 3.3410 | Train RMSE: 0.3733 AUC: 0.7148 | Test RMSE: 0.3231 AUC: 0.7164 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch  999 | Loss: 3.3269 | Train RMSE: 0.3733 AUC: 0.7157 | Test RMSE: 0.3231 AUC: 0.7174 | Tau (min/mean/max): 0.000/0.000/0.000
Epoch 1000 | Loss: 3.3263 | Train RMSE: 0.3733 AUC: 0.7158 | Test RMSE: 0.3231 AUC: 0.7174 | Tau (min/mean/max): 0.000/0.000/0.000
  Test RMSE: 0.3264 | Test AUC: 0.7108 | Active Dims: 0

--- Testing LAMBDA_TAU = 0.5 ---
Epoch    0 | Loss: 23.4165 | Train RMSE: 0.4070 AUC: 0.4902 | Test RMSE: 0.3534 AUC: 0.4449 | Tau (min/mean/max): 0.198/0.200/0.202
